population,female_id,sub_id,generation,unique_id,ng_ul,r260.280,r260.230
AFC,1,1,F1,AFC-1-1-F1,NA,NA,NA
AFC,1,4,F1,AFC-1-4-F1,421.42,2.19,2.09
AFC,1,3,F1,AFC-1-3-F1,100.8,2.07,1.78
AFC,1,2,F1,AFC-1-2-F1,47.01,1.97,1.89
AFC,2,2,F1,AFC-2-2-F1,819.29,2.21,2.48
AFC,2,4,F1,AFC-2-4-F1,323.93,2.19,2.38
AFC,2,1,F1,AFC-2-1-F1,117.27,2.11,2.04
AFC,2,3,F1,AFC-2-3-F1,88.42,1.91,1.81
AFC,3,3,F1,AFC-3-3-F1,383.35,2.16,2.3
AFC,3,1,F1,AFC-3-1-F1,228.83,2.1,1.83
AFC,3,4,F1,AFC-3-4-F1,193.87,2.15,2.21
AFC,3,2,F1,AFC-3-2-F1,26.56,2.15,1.63
AFC,5,4,F1,AFC-5-4-F1,401.69,2.11,1.86
AFC,5,2,F1,AFC-5-2-F1,192.67,2.14,2.24
AFC,5,3,F1,AFC-5-3-F1,46.93,2.08,2.3
AFC,5,1,F1,AFC-5-1-F1,13.8,1.73,1.14
AFC,5,1,F1,AFC-5-1-F1,12.81,1.7,1.65
AFC,6,2,F1,AFC-6-2-F1,287.26,2.19,2.33
AFC,6,3,F1,AFC-6-3-F1,142.38,2.13,1.92
AFC,6,1,F1,AFC-6-1-F1,109.26,2.15,2.13
AFC,6,4,F1,AFC-6-4-F1,13.88,2.07,2.54
AFC,7,4,F1,AFC-7-4-F1,561.51,2.08,2.04
AFC,7,1,F1,AFC-7-1-F1,488.49,2.17,2.37
AFC,7,2,F1,AFC-7-2-F1,362.7,2.12,1.86
AFC,7,2,F1,AFC-7-2-F1,325.52,2.15,2
AFC,7,3,F1,AFC-7-3-F1,310.58,2.08,1.89
AFC,7,1,F1,AFC-7-1-F1,272.37,1.91,2.94
AFC,8,3,F1,AFC-8-3-F1,385.91,2.12,1.83
AFC,8,2,F1,AFC-8-2-F1,354.06,2.06,1.69
AFC,8,4,F1,AFC-8-4-F1,314.41,2.03,1.94
AFC,8,1,F1,AFC-8-1-F1,107.42,1.84,1.79
AFC,8,1,F1,AFC-8-1-F1,69.03,2.1,2.08
AFC,11,1,F1,AFC-11-1-F1,NA,NA,NA
AFC,11,2,F1,AFC-11-2-F1,NA,NA,NA
AFC,11,3,F1,AFC-11-3-F1,NA,NA,NA
AFC,11,4,F1,AFC-11-4-F1,NA,NA,NA
AFC,12,1,F1,AFC-12-1-F1,NA,NA,NA
AFC,12,2,F1,AFC-12-2-F1,NA,NA,NA
AFC,12,4,F1,AFC-12-4-F1,NA,NA,NA
AFC,12,3,F1,AFC-12-3-F1,560.9,2.06,1.97
AFC,13,4,F1,AFC-13-4-F1,383.63,2.01,2.45
AFC,13,2,F1,AFC-13-2-F1,158.27,1.91,1.1
AFC,13,2,F1,AFC-13-2-F1,116.73,2.03,1.29
AFC,13,3,F1,AFC-13-3-F1,111.64,2,1.48
AFC,13,1,F1,AFC-13-1-F1,103.82,2.08,1.99
