population female_id unique_id ng_ul conc_rank
AFC 1 AFC-1-4-F1 421.42 1
AFC 1 AFC-1-3-F1 100.8 2
AFC 2 AFC-2-2-F1 819.29 1
AFC 2 AFC-2-4-F1 323.93 2
AFC 3 AFC-3-3-F1 383.35 1
AFC 3 AFC-3-1-F1 228.83 2
AFC 5 AFC-5-4-F1 401.69 1
AFC 5 AFC-5-2-F1 192.67 2
AFC 6 AFC-6-2-F1 287.26 1
AFC 6 AFC-6-3-F1 142.38 2
AFC 7 AFC-7-4-F1 561.51 1
AFC 7 AFC-7-1-F1 380.43 2
AFC 8 AFC-8-3-F1 385.91 1
AFC 8 AFC-8-2-F1 354.06 2
AFC 12 AFC-12-3-F1 560.9 1
AFC 13 AFC-13-4-F1 383.63 1
AFC 13 AFC-13-2-F1 137.5 2
AFC 14 AFC-14-1-F1 626.38 1
AFC 14 AFC-14-2-F1 461.17 2
AFC 15 AFC-15-4-F1 466.72 1
AFC 15 AFC-15-1-F1 300.36 2
AFC 18 AFC-18-3-F1 411.99 1
AFC 18 AFC-18-4-F1 67.095 2
AFC 19 AFC-19-3-F1 487.72 1
AFC 19 AFC-19-4-F1 344.15 2
AFC 24 AFC-24-4-F1 506.73 1
AFC 24 AFC-24-3-F1 277.93 2
AFC 25 AFC-25-4-F1 123.6 1
AFC 25 AFC-25-3-F1 91.39 2
AFC 27 AFC-27-3-F1 284.54 1
AFC 27 AFC-27-4-F1 243.02 2
AFC 28 AFC-28-3-F1 388.14 1
AFC 28 AFC-28-2-F1 253.92 2
AFC 29 AFC-29-3-F1 180.815 1
AFC 29 AFC-29-2-F1 128.71 2
AFC 30 AFC-30-4-F1 400.33 1
AFC 30 AFC-30-1-F1 379.47 2
AFC 42 AFC-42-4-F1 474.43 1
AFC 42 AFC-42-3-F1 418.49 2
AFC 43 AFC-43-1-F1 144.63 1
AFC 43 AFC-43-3-F1 51.875 2
AFC 46 AFC-46-3-F1 487.59 1
AFC 46 AFC-46-1-F1 396.48 2
AFC 47 AFC-47-3-F1 485.73 1
AFC 47 AFC-47-2-F1 392.24 2
AFC 48 AFC-48-4-F1 556.78 1
AFC 48 AFC-48-2-F1 255.39 2
AFC 49 AFC-49-1-F1 243.065 1
AFC 49 AFC-49-4-F1 199.565 2
AFC 50 AFC-50-4-F1 503.08 1
AFC 50 AFC-50-3-F1 325.39 2
AFC 51 AFC-51-3-F1 333.82 1
AFC 51 AFC-51-1-F1 146.74 2
AFC 54 AFC-54-3-F1 482.55 1
AFC 54 AFC-54-2-F1 461.4 2
AFC 55 AFC-55-3-F1 356.865 1
AFC 55 AFC-55-4-F1 312.26 2
AFC 56 AFC-56-4-F1 394.55 1
AFC 56 AFC-56-1-F1 298.22 2
AFC 57 AFC-57-1-F1 570.06 1
AFC 57 AFC-57-3-F1 550.15 2
AFC 59 AFC-59-1-F1 332.49 1
AFC 59 AFC-59-2-F1 154.87 2
AFC 60 AFC-60-4-F1 403.75 1
AFC 60 AFC-60-3-F1 209.32 2
AFC 63 AFC-63-4-F1 437.67 1
AFC 63 AFC-63-1-F1 164.83 2
AFC 64 AFC-64-3-F1 528.07 1
AFC 64 AFC-64-4-F1 418.13 2
AFC 66 AFC-66-3-F1 355.52 1
AFC 66 AFC-66-2-F1 181.96 2
AFC 67 AFC-67-2-F1 357.39 1
AFC 67 AFC-67-3-F1 64.7 2
AFC 68 AFC-68-3-F1 348.57 1
AFC 68 AFC-68-4-F1 171.75 2
AFC 70 AFC-70-3-F1 723.88 1
AFC 70 AFC-70-2-F1 629.79 2
AFC 71 AFC-71-3-F1 550.46 1
AFC 71 AFC-71-2-F1 532.01 2
MC 6 MC-6-2-F1 386.41 1
MC 9 MC-9-2-F1 531.48 1
MC 13 MC-13-4-F1 405.15 1
MC 13 MC-13-1-F1 257.703333333333 2
MC 14 MC-14-1-F1 449.74 1
MC 14 MC-14-4-F1 360.25 2
MC 15 MC-15-2-F1 203.21 1
MC 15 MC-15-4-F1 190.2 2
MC 17 MC-17-2-F1 209.36 1
MC 20 MC-20-3-F1 274.82 1
MC 20 MC-20-2-F1 133.935 2
