pop,line,vials,session_id,time_mins,date,group,group,
mc,6,45,1,50,05-Dec,1,1,
mc,13,11,1,50,05-Dec,1,1,
afc,30,28,2,30,05-Dec,1,1,1
afc,47,34,2,30,05-Dec,1,1,1
afc,57,13,3,20,05-Dec,1,1,
afc,60,33,3,20,05-Dec,1,1,
afc,6,22,4,50,05-Dec,2,2,
afc,12,20,4,50,05-Dec,2,2,
afc,14,31,4,50,05-Dec,2,2,
mc,14,40,5,25,05-Dec,2,2,
mc,15,24,5,25,05-Dec,2,2,
mc,20,36,6,30,06-Dec,2,3,2
mc,27,21,6,30,06-Dec,2,3,2
afc,56,24,9,55,06-Dec,3,3,
afc,19,16,7,15,06-Dec,3,3,2
afc,24,18,7,15,06-Dec,3,3,2
afc,48,30,9,55,06-Dec,3,3,2
afc,49,22,9,55,06-Dec,3,4,2
vy,1,30,10,25,07-Dec,3,4,1
mv,225,65,8,30,06-Dec,3,4,1
