Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
AFC-6-4-F1-feb16	Default	2/16/2017	11:49 AM	11.55	0.231	0.131	1.76	1.14	50.00	230	0.203	-0.039
AFC-6-4-F1-feb16	Default	2/16/2017	11:50 AM	13.88	0.278	0.134	2.07	2.54	50.00	230	0.109	-0.020
AFC-7-2-F1-feb16	Default	2/16/2017	11:52 AM	325.52	6.510	3.025	2.15	2.00	50.00	230	3.254	0.270
AFC-14-1-F1-feb16	Default	2/16/2017	11:53 AM	626.38	12.528	5.390	2.32	2.45	50.00	230	5.104	0.278
AFC-14-2-F1-feb16	Default	2/16/2017	11:56 AM	461.17	9.223	4.290	2.15	1.91	50.00	230	4.832	0.473
AFC-14-3-F1-feb16	Default	2/16/2017	11:57 AM	380.47	7.609	3.537	2.15	2.10	50.00	230	3.630	0.431
AFC-14-4-F1-feb16	Default	2/16/2017	11:58 AM	344.58	6.892	3.248	2.12	2.46	50.00	230	2.803	0.245
AFC-42-3-F1-feb16	Default	2/16/2017	12:00 PM	418.49	8.370	3.918	2.14	1.78	50.00	230	4.715	0.494
AFC-42-4-F1-feb16	Default	2/16/2017	12:02 PM	474.43	9.489	4.590	2.07	1.52	50.00	230	6.248	1.157
AFC-51-1-F1-feb16	Default	2/16/2017	12:04 PM	397.32	7.946	3.790	2.10	1.69	50.00	230	4.713	0.587
AFC-46-4-F1-feb16	Default	2/16/2017	12:05 PM	364.04	7.281	3.309	2.20	2.45	50.00	230	2.973	0.048
AFC-47-4-F1-feb16	Default	2/16/2017	12:07 PM	348.14	6.963	3.226	2.16	2.27	50.00	230	3.072	0.175
AFC-46-1-F1-feb16	Default	2/16/2017	12:09 PM	396.48	7.930	3.697	2.15	2.20	50.00	230	3.607	0.230
AFC-46-2-F1-feb16	Default	2/16/2017	12:10 PM	302.36	6.047	2.843	2.13	1.69	50.00	230	3.580	0.455
AFC-46-3-F1-feb16	Default	2/16/2017	12:13 PM	487.59	9.752	4.566	2.14	2.02	50.00	230	4.823	0.417
AFC-43-1-F1-feb16	Default	2/16/2017	12:14 PM	144.63	2.893	1.392	2.08	2.40	50.00	230	1.206	0.110
AFC-43-2-F1-feb16	Default	2/16/2017	12:16 PM	18.89	0.378	0.180	2.09	1.78	50.00	230	0.212	0.015
AFC-43-2-F1-feb16	Default	2/16/2017	12:17 PM	20.65	0.413	0.216	1.92	1.87	50.00	230	0.221	0.024
AFC-43-3-F1-feb16	Default	2/16/2017	12:18 PM	50.51	1.010	0.537	1.88	1.76	50.00	230	0.574	0.134
AFC-43-3-F1-feb16	Default	2/16/2017	12:19 PM	53.24	1.065	0.548	1.94	1.60	50.00	230	0.665	0.087
AFC-43-4-F1-feb16	Default	2/16/2017	12:21 PM	8.84	0.177	0.081	2.17	1.90	50.00	230	0.093	-0.031
AFC-43-4-F1-feb16	Default	2/16/2017	12:22 PM	10.36	0.207	0.092	2.26	1.94	50.00	230	0.107	-0.022
