Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
AFC-68-3-F1-oct18	Default	12/6/2016	4:01 PM	344.14	6.883	3.205	2.15	1.99	50.00	230	3.462	0.282
AFC-68-2-F1-oct18	Default	12/6/2016	4:04 PM	100.14	2.003	1.009	1.99	1.39	50.00	230	1.441	0.278
AFC-68-2-F1-oct18	Default	12/6/2016	4:06 PM	90.23	1.805	0.915	1.97	1.61	50.00	230	1.122	0.149
AFC-64-1-F1-oct18	Default	12/6/2016	4:07 PM	178.11	3.562	1.695	2.10	1.91	50.00	230	1.865	0.190
AFC-66-1-F1-oct18	Default	12/6/2016	4:09 PM	187.25	3.745	1.806	2.07	1.55	50.00	230	2.419	0.398
AFC-55-1-F1-oct18	Default	12/6/2016	4:12 PM	312.52	6.250	2.934	2.13	2.18	50.00	230	2.861	0.223
AFC-55-2-F1-oct18	Default	12/6/2016	4:14 PM	238.06	4.761	2.210	2.15	1.98	50.00	230	2.407	0.361
AFC-70-1-F1-oct18	Default	12/6/2016	4:16 PM	374.79	7.496	3.521	2.13	1.84	50.00	230	4.068	0.396
AFC-71-1-F1-oct18	Default	12/6/2016	4:18 PM	72.19	1.444	0.741	1.95	1.86	50.00	230	0.774	0.101
AFC-7-1-F1-oct18	Default	12/6/2016	4:19 PM	488.49	9.770	4.494	2.17	2.37	50.00	230	4.118	0.174
AFC-42-1-F1-oct18	Default	12/6/2016	4:21 PM	165.22	3.304	1.579	2.09	2.37	50.00	230	1.394	0.065
AFC-50-1-F1-oct18	Default	12/6/2016	4:22 PM	137.31	2.746	1.325	2.07	1.62	50.00	230	1.696	0.221
AFC-18-2-F1-oct19	Default	12/6/2016	4:24 PM	46.99	0.940	0.458	2.05	2.12	50.00	230	0.442	0.060
AFC-13-3-F1-oct19	Default	12/6/2016	4:26 PM	111.64	2.233	1.117	2.00	1.48	50.00	230	1.506	0.401
AFC-51-2-F1-oct19	Default	12/6/2016	4:27 PM	86.93	1.739	0.794	2.19	2.46	50.00	230	0.707	-0.004
AFC-15-2-F1-oct19	Default	12/6/2016	4:29 PM	60.36	1.207	0.569	2.12	2.12	50.00	230	0.568	0.054
AFC-25-2-F1-oct19	Default	12/6/2016	4:31 PM	37.35	0.747	0.349	2.14	2.26	50.00	230	0.330	0.018
AFC-1-3-F1-oct19	Default	12/6/2016	4:33 PM	100.80	2.016	0.974	2.07	1.78	50.00	230	1.131	0.162
AFC-1-2-F1-oct19	Default	12/6/2016	4:34 PM	47.01	0.940	0.477	1.97	1.89	50.00	230	0.497	0.071
AFC-3-2-F1-oct19	Default	12/6/2016	4:35 PM	26.56	0.531	0.247	2.15	1.63	50.00	230	0.325	0.034
AFC-3-3-F1-oct19	Default	12/6/2016	4:37 PM	383.35	7.667	3.552	2.16	2.30	50.00	230	3.332	0.200
AFC-27-2-F1-oct19	Default	12/6/2016	4:38 PM	140.41	2.808	1.369	2.05	2.32	50.00	230	1.213	0.193
AFC-13-2-F1-oct19	Default	12/6/2016	4:40 PM	158.27	3.165	1.655	1.91	1.10	50.00	230	2.885	0.745
AFC-13-2-F1-oct19	Default	12/6/2016	4:41 PM	116.73	2.335	1.151	2.03	1.29	50.00	230	1.812	0.457
AFC-5-3-F1-oct19	Default	12/6/2016	4:42 PM	46.93	0.939	0.450	2.08	2.30	50.00	230	0.408	-0.004
AFC-5-2-F1-oct19	Default	12/6/2016	4:44 PM	192.67	3.853	1.803	2.14	2.24	50.00	230	1.717	0.088
AFC-68-1-F1-sept28	Default	12/6/2016	4:46 PM	3.01	0.060	0.015	3.92	1.36	50.00	230	0.044	-0.021
AFC-68-1-F1-sept28	Default	12/6/2016	4:48 PM	2.74	0.055	0.023	2.41	1.30	50.00	230	0.042	-0.047
AFC-63-1-F1-sept28	Default	12/6/2016	4:50 PM	164.83	3.297	1.554	2.12	1.89	50.00	230	1.746	0.139
