Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
AFC-24-1-F1-feb02	Default	2/2/2017	10:27 AM	398.49	7.970	3.802	2.10	2.12	50.00	230	3.767	0.403
AFC-24-2-F1-feb02	Default	2/2/2017	10:29 AM	38.93	0.779	0.388	2.00	2.63	50.00	230	0.296	-0.009
AFC-24-2-F1-feb02	Default	2/2/2017	10:30 AM	37.93	0.759	0.344	2.21	2.64	50.00	230	0.287	-0.003
AFC-24-3-F1-feb02	Default	2/2/2017	10:31 AM	277.93	5.559	2.524	2.20	2.26	50.00	230	2.455	0.183
AFC-24-4-F1-feb02	Default	2/2/2017	10:33 AM	506.73	10.135	4.808	2.11	1.70	50.00	230	5.950	1.291
AFC-25-1-F1-sept28	Default	2/2/2017	10:34 AM	22.66	0.453	0.197	2.30	2.24	50.00	230	0.203	0.000
AFC-25-1-F1-sept28	Default	2/2/2017	10:35 AM	23.30	0.466	0.213	2.19	2.09	50.00	230	0.223	-0.008
AFC-27-1-F1-sept28	Default	2/2/2017	10:37 AM	9.11	0.182	0.068	2.70	2.28	50.00	230	0.080	-0.019
AFC-27-1-F1-sept28	Default	2/2/2017	10:39 AM	7.66	0.153	0.092	1.67	1.88	50.00	230	0.081	-0.042
AFC-28-2-F1-nov11	Default	2/2/2017	10:40 AM	253.92	5.078	2.466	2.06	2.15	50.00	230	2.367	0.465
AFC-28-3-F1-nov11	Default	2/2/2017	10:42 AM	388.14	7.763	3.545	2.19	2.43	50.00	230	3.198	0.176
AFC-28-4-F1-nov11	Default	2/2/2017	10:43 AM	20.84	0.417	0.203	2.05	2.30	50.00	230	0.181	-0.015
AFC-28-4-F1-nov11	Default	2/2/2017	10:45 AM	20.34	0.407	0.204	1.99	2.27	50.00	230	0.179	-0.013
AFC-29-1-F1-nov11	Default	2/2/2017	10:46 AM	118.90	2.378	1.142	2.08	2.08	50.00	230	1.145	0.101
AFC-29-2-F1-nov11	Default	2/2/2017	10:48 AM	128.71	2.574	1.314	1.96	2.09	50.00	230	1.229	0.045
AFC-29-3-F1-nov11	Default	2/2/2017	10:50 AM	187.05	3.741	1.939	1.93	1.24	50.00	230	3.008	0.621
AFC-29-3-F1-nov11	Default	2/2/2017	10:52 AM	174.58	3.492	1.765	1.98	1.39	50.00	230	2.504	0.901
AFC-29-4-F1-nov11	Default	2/2/2017	10:54 AM	112.42	2.248	1.135	1.98	1.70	50.00	230	1.322	0.381
AFC-30-1-F1-nov11	Default	2/2/2017	10:56 AM	379.47	7.589	3.393	2.24	2.27	50.00	230	3.338	0.037
AFC-30-2-F1-nov11	Default	2/2/2017	10:58 AM	23.32	0.466	0.215	2.17	2.70	50.00	230	0.173	-0.041
AFC-30-2-F1-nov11	Default	2/2/2017	11:00 AM	24.61	0.492	0.229	2.15	1.86	50.00	230	0.264	-0.029
AFC-30-3-F1-nov11	Default	2/2/2017	11:02 AM	249.23	4.985	2.281	2.19	2.43	50.00	230	2.048	0.026
AFC-30-4-F1-nov11	Default	2/2/2017	11:04 AM	400.33	8.007	3.687	2.17	2.29	50.00	230	3.493	0.377
AFC-42-2-F1-nov11	Default	2/2/2017	11:06 AM	349.00	6.980	3.361	2.08	1.67	50.00	230	4.188	0.530
AFC-47-1-F1-nov11	Default	2/2/2017	11:08 AM	211.33	4.227	2.038	2.07	1.67	50.00	230	2.533	0.322
AFC-47-2-F1-nov11	Default	2/2/2017	11:10 AM	393.30	7.866	3.933	2.00	1.44	50.00	230	5.451	1.392
AFC-47-2-F1-nov11	Default	2/2/2017	11:12 AM	391.18	7.824	3.948	1.98	1.33	50.00	230	5.880	1.062
AFC-47-3-F1-nov11	Default	2/2/2017	11:14 AM	450.20	9.004	4.233	2.13	2.12	50.00	230	4.255	0.280
AFC-47-3-F1-nov11	Default	2/2/2017	11:25 AM	521.26	10.425	5.227	1.99	1.99	50.00	230	5.246	0.552
AFC-48-1-F1-nov11	Default	2/2/2017	11:27 AM	248.88	4.978	2.290	2.17	1.97	50.00	230	2.528	0.269
AFC-48-2-F1-nov11	Default	2/2/2017	11:29 AM	255.39	5.108	2.374	2.15	2.12	50.00	230	2.406	0.144
AFC-48-3-F1-nov11	Default	2/2/2017	11:31 AM	38.08	0.762	0.374	2.04	2.21	50.00	230	0.345	-0.021
AFC-48-3-F1-nov11	Default	2/2/2017	11:32 AM	37.38	0.748	0.368	2.03	2.29	50.00	230	0.327	-0.019
AFC-48-4-F1-nov11	Default	2/2/2017	11:34 AM	556.78	11.136	5.232	2.13	2.12	50.00	230	5.259	0.501
AFC-51-1-F1-sept28	Default	2/2/2017	11:36 AM	21.66	0.433	0.174	2.48	2.39	50.00	230	0.181	-0.027
AFC-51-1-F1-sept28	Default	2/2/2017	11:39 AM	21.24	0.425	0.203	2.09	2.25	50.00	230	0.189	-0.032
AFC-50-2-F1-nov11	Default	2/2/2017	11:41 AM	312.13	6.243	2.958	2.11	1.87	50.00	230	3.341	0.369
