Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
MC_F1_F22_feb28	Default	2/28/2017	11:09 AM	466.17	9.323	4.252	2.19	2.50	50.00	230	3.724	0.094
MC_F1_F23_feb28	Default	2/28/2017	11:11 AM	507.99	10.160	4.584	2.22	2.54	50.00	230	3.997	0.093
MC_F1_F25_feb28	Default	2/28/2017	11:12 AM	563.88	11.278	5.137	2.20	2.25	50.00	230	5.022	0.276
MC_F1_F26_feb28	Default	2/28/2017	11:13 AM	481.38	9.628	4.390	2.19	2.18	50.00	230	4.411	0.333
MC_F1_F20_feb28	Default	2/28/2017	11:15 AM	203.64	4.073	1.941	2.10	1.70	50.00	230	2.400	0.358
MC_F1_F19_feb28	Default	2/28/2017	11:16 AM	169.39	3.388	1.707	1.98	1.46	50.00	230	2.327	0.447
MC_F1_9-1_feb28	Default	2/28/2017	11:18 AM	578.58	11.572	5.472	2.11	2.17	50.00	230	5.340	0.404
MC_F1_9-2_feb28	Default	2/28/2017	11:19 AM	326.98	6.540	3.002	2.18	2.11	50.00	230	3.096	0.856
MC_F1_9-3_feb28	Default	2/28/2017	11:21 AM	254.21	5.084	2.254	2.26	2.52	50.00	230	2.014	0.136
MC_F1_9-4_feb28	Default	2/28/2017	11:22 AM	220.99	4.420	1.969	2.25	2.50	50.00	230	1.767	0.095
MC_F1_9-5_feb28	Default	2/28/2017	11:23 AM	208.83	4.177	1.880	2.22	2.30	50.00	230	1.814	0.329
MC_F1_6-1_feb28	Default	2/28/2017	11:25 AM	677.71	13.554	6.992	1.94	0.95	50.00	230	14.222	3.536
MC_F1_6-1_feb28	Default	2/28/2017	11:26 AM	437.53	8.751	4.115	2.13	1.58	50.00	230	5.525	0.931
MC_F1_6-2_feb28	Default	2/28/2017	11:27 AM	303.93	6.079	2.851	2.13	1.60	50.00	230	3.789	0.595
MC_F1_6-3_feb28	Default	2/28/2017	11:28 AM	283.29	5.666	2.599	2.18	2.32	50.00	230	2.442	0.183
MC_F1_6-4_feb28	Default	2/28/2017	11:29 AM	247.27	4.945	2.243	2.20	1.93	50.00	230	2.561	0.284
MC_F1_6-5_feb28	Default	2/28/2017	11:30 AM	323.43	6.469	3.014	2.15	1.62	50.00	230	3.998	0.658
AFC_F1_54-1_feb28	Default	2/28/2017	11:32 AM	479.46	9.589	4.665	2.06	1.59	50.00	230	6.028	1.176
