Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
MC_M17_F1_feb21	Default	2/21/2017	10:59 AM	14.83	0.297	0.186	1.60	1.78	50.00	230	0.167	0.548
MC_M18_F1_feb21	Default	2/21/2017	11:00 AM	27.43	0.549	0.293	1.87	1.89	50.00	230	0.291	-0.030
MC_M19_F1_feb21	Default	2/21/2017	11:01 AM	41.06	0.821	0.393	2.09	1.90	50.00	230	0.433	0.125
MC_M20_F1_feb21	Default	2/21/2017	11:03 AM	20.54	0.411	0.242	1.70	1.59	50.00	230	0.258	-0.047
MC_M20_F1_feb21	Default	2/21/2017	11:04 AM	19.91	0.398	0.223	1.79	1.69	50.00	230	0.236	-0.030
MC_M21_F1_feb21	Default	2/21/2017	11:06 AM	60.19	1.204	0.564	2.13	2.09	50.00	230	0.576	-0.006
MC_M27_F1_feb21	Default	2/21/2017	11:07 AM	57.64	1.153	0.593	1.95	1.75	50.00	230	0.660	0.142
MC_M28_F1_feb21	Default	2/21/2017	11:09 AM	38.33	0.767	0.391	1.96	1.86	50.00	230	0.412	-0.019
MC_M15_F1_feb21	Default	2/21/2017	11:10 AM	32.88	0.658	0.325	2.02	2.34	50.00	230	0.281	-0.022
MC_M15_F1_feb21	Default	2/21/2017	11:11 AM	29.40	0.588	0.301	1.95	2.31	50.00	230	0.255	-0.048
MC_M23_F1_feb21	Default	2/21/2017	11:13 AM	29.13	0.583	0.304	1.92	2.32	50.00	230	0.252	0.261
MC_M23_F1_feb21	Default	2/21/2017	11:14 AM	28.87	0.577	0.274	2.11	2.23	50.00	230	0.259	-0.033
MC_M16_F1_feb21	Default	2/21/2017	11:16 AM	20.55	0.411	0.207	1.99	1.63	50.00	230	0.253	-0.146
MC_M16_F1_feb21	Default	2/21/2017	11:17 AM	18.30	0.366	0.181	2.02	1.92	50.00	230	0.191	-0.049
MC_M24_F1_feb21	Default	2/21/2017	11:18 AM	22.82	0.456	0.240	1.90	1.78	50.00	230	0.257	-0.015
MC_M24_F1_feb21	Default	2/21/2017	11:19 AM	23.64	0.473	0.241	1.96	1.78	50.00	230	0.266	-0.011
MC_M25_F1_feb21	Default	2/21/2017	11:21 AM	15.25	0.305	0.163	1.87	1.71	50.00	230	0.178	-0.054
MC_M25_F1_feb21	Default	2/21/2017	11:22 AM	14.66	0.293	0.161	1.82	1.57	50.00	230	0.187	-0.066
MC_M26_F1_feb21	Default	2/21/2017	11:23 AM	25.35	0.507	0.250	2.03	1.87	50.00	230	0.272	-0.023
MC_M22_F1_feb21	Default	2/21/2017	11:24 AM	9.73	0.195	0.094	2.06	1.46	50.00	230	0.134	-0.058
MC_M22_F1_feb21	Default	2/21/2017	11:25 AM	10.25	0.205	0.121	1.69	1.75	50.00	230	0.117	0.142
