Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
FL-L1	Default	3/1/2017	10:53 AM	285.48	5.710	2.696	2.12	2.50	50.00	230	2.280	-0.004
FL-L2	Default	3/1/2017	10:53 AM	287.00	5.740	2.658	2.16	2.23	50.00	230	2.569	0.185
FL-L3	Default	3/1/2017	10:54 AM	374.08	7.482	3.512	2.13	2.62	50.00	230	2.852	0.024
FL-L4	Default	3/1/2017	10:54 AM	219.50	4.390	1.980	2.22	2.52	50.00	230	1.741	0.023
FL-L5	Default	3/1/2017	10:55 AM	265.09	5.302	2.492	2.13	2.31	50.00	230	2.293	0.124
FL-L6	Default	3/1/2017	10:55 AM	283.78	5.676	2.615	2.17	2.27	50.00	230	2.504	0.149
FL-L7	Default	3/1/2017	10:56 AM	277.57	5.551	2.603	2.13	2.13	50.00	230	2.601	0.273
FL-L8	Default	3/1/2017	10:56 AM	261.65	5.233	2.494	2.10	2.08	50.00	230	2.516	0.205
FL-L9	Default	3/1/2017	10:57 AM	3.88	0.078	0.037	2.12	1.96	50.00	230	0.040	-0.050
FL-L10	Default	3/1/2017	10:57 AM	197.33	3.947	1.857	2.13	2.59	50.00	230	1.524	0.003
FL-L11	Default	3/1/2017	10:58 AM	339.70	6.794	3.091	2.20	2.50	50.00	230	2.720	0.037
FL-L12	Default	3/1/2017	10:59 AM	288.67	5.773	2.716	2.13	2.66	50.00	230	2.171	-0.012
VY-L1	Default	3/1/2017	10:59 AM	390.04	7.801	3.685	2.12	2.33	50.00	230	3.343	0.156
VY-L2	Default	3/1/2017	11:00 AM	388.80	7.776	3.463	2.25	2.58	50.00	230	3.018	0.015
VY-L3	Default	3/1/2017	11:00 AM	407.34	8.147	3.659	2.23	2.34	50.00	230	3.479	0.147
VY-L4	Default	3/1/2017	11:01 AM	19.94	0.399	0.206	1.94	2.31	50.00	230	0.173	-0.016
VY-L5	Default	3/1/2017	11:01 AM	175.04	3.501	1.654	2.12	1.88	50.00	230	1.865	0.476
VY-L6	Default	3/1/2017	11:02 AM	191.17	3.823	1.766	2.16	2.60	50.00	230	1.471	-0.005
VY-L7	Default	3/1/2017	11:02 AM	340.79	6.816	3.063	2.22	2.40	50.00	230	2.837	0.128
VY-L8	Default	3/1/2017	11:03 AM	326.61	6.532	2.958	2.21	2.04	50.00	230	3.200	0.289
VY-L9	Default	3/1/2017	11:03 AM	256.55	5.131	2.376	2.16	2.46	50.00	230	2.085	0.149
VY-L10	Default	3/1/2017	11:04 AM	325.05	6.501	3.086	2.11	2.56	50.00	230	2.540	0.050
VY-L11	Default	3/1/2017	11:04 AM	332.02	6.640	3.115	2.13	2.58	50.00	230	2.575	0.039
VY-L12	Default	3/1/2017	11:05 AM	298.33	5.967	2.808	2.12	2.58	50.00	230	2.308	0.023
