Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
OPT-M1-1	Default	9/15/2016	2:16 PM	19.21	0.384	0.194	1.98	3.62	50.00	230	0.106	0.128
OPT-M2-1	Default	9/15/2016	2:17 PM	17.92	0.358	0.186	1.92	3.33	50.00	230	0.108	0.114
OPT-M3-1	Default	9/15/2016	2:18 PM	4.68	0.094	0.053	1.75	-5.30	50.00	230	-0.018	0.124
OPT-M4-1	Default	9/15/2016	2:19 PM	13.15	0.263	0.140	1.88	3.82	50.00	230	0.069	0.117
OPT-M5-1	Default	9/15/2016	2:20 PM	15.73	0.315	0.145	2.17	3.18	50.00	230	0.099	0.124
OPT-F1-1	Default	9/15/2016	2:21 PM	26.03	0.521	0.258	2.02	2.29	50.00	230	0.227	0.194
OPT-F2-1	Default	9/15/2016	2:21 PM	23.57	0.471	0.216	2.18	2.97	50.00	230	0.159	0.198
OPT-F3-1	Default	9/15/2016	2:22 PM	34.48	0.690	0.345	2.00	2.72	50.00	230	0.254	0.133
OPT-F4-1	Default	9/15/2016	2:23 PM	15.65	0.313	0.157	1.99	3.76	50.00	230	0.083	0.121
OPT-F5-1	Default	9/15/2016	2:24 PM	15.91	0.318	0.162	1.97	3.05	50.00	230	0.104	0.132
OPT-M3-1	Default	9/15/2016	2:25 PM	5.22	0.104	0.049	2.14	-15.60	50.00	230	-0.007	0.105
