Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
OPT-M1-2	Default	9/19/2016	3:59 PM	156.32	3.126	1.458	2.14	2.38	50.00	230	1.313	0.035
OPT-M2-2	Default	9/19/2016	4:00 PM	138.26	2.765	1.302	2.12	2.34	50.00	230	1.183	0.078
OPT-F1-2	Default	9/19/2016	4:01 PM	57.81	1.156	0.529	2.19	2.34	50.00	230	0.495	0.027
OPT-F2-2	Default	9/19/2016	4:35 PM	63.33	1.267	0.593	2.14	2.18	50.00	230	0.580	0.060
OPT-F3-2	Default	9/19/2016	4:36 PM	172.65	3.453	1.570	2.20	2.29	50.00	230	1.509	0.105
OPT-M3-2	Default	9/19/2016	4:37 PM	108.46	2.169	0.998	2.17	2.31	50.00	230	0.939	0.064
OPT-F4-2	Default	9/19/2016	4:38 PM	228.30	4.566	2.052	2.23	2.40	50.00	230	1.902	0.065
OPT-M4-2	Default	9/19/2016	4:38 PM	14.89	0.298	0.120	2.48	3.37	50.00	230	0.088	0.013
OPT-M4-2	Default	9/19/2016	4:39 PM	11.70	0.234	0.092	2.55	-9.93	50.00	230	-0.024	-0.089
OPT-F5-2	Default	9/19/2016	4:44 PM	23.66	0.473	0.182	2.60	4.47	50.00	230	0.106	-0.077
OPT-M5-2	Default	9/19/2016	4:44 PM	10.80	0.216	0.079	2.73	38.98	50.00	230	0.006	0.009
