Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
M1	Default	9/15/2016	2:16 PM	19.21	0.384	0.194	1.98	3.62	50.00	230	0.106	0.128
M2	Default	9/15/2016	2:17 PM	17.92	0.358	0.186	1.92	3.33	50.00	230	0.108	0.114
M3	Default	9/15/2016	2:18 PM	4.68	0.094	0.053	1.75	-5.30	50.00	230	-0.018	0.124
M4	Default	9/15/2016	2:19 PM	13.15	0.263	0.140	1.88	3.82	50.00	230	0.069	0.117
M5	Default	9/15/2016	2:20 PM	15.73	0.315	0.145	2.17	3.18	50.00	230	0.099	0.124
F1	Default	9/15/2016	2:21 PM	26.03	0.521	0.258	2.02	2.29	50.00	230	0.227	0.194
F2	Default	9/15/2016	2:21 PM	23.57	0.471	0.216	2.18	2.97	50.00	230	0.159	0.198
F3	Default	9/15/2016	2:22 PM	34.48	0.690	0.345	2.00	2.72	50.00	230	0.254	0.133
F4	Default	9/15/2016	2:23 PM	15.65	0.313	0.157	1.99	3.76	50.00	230	0.083	0.121
F5	Default	9/15/2016	2:24 PM	15.91	0.318	0.162	1.97	3.05	50.00	230	0.104	0.132
M3	Default	9/15/2016	2:25 PM	5.22	0.104	0.049	2.14	-15.60	50.00	230	-0.007	0.105
1	Default	9/15/2016	2:27 PM	92.45	1.849	0.904	2.05	2.69	50.00	230	0.688	0.455
2	Default	9/15/2016	2:28 PM	5.63	0.113	0.085	1.32	11.84	50.00	230	0.010	0.150
3	Default	9/15/2016	2:29 PM	114.89	2.298	1.088	2.11	2.62	50.00	230	0.876	0.202
4	Default	9/15/2016	2:30 PM	54.14	1.083	0.558	1.94	2.55	50.00	230	0.424	0.175
5	Default	9/15/2016	2:30 PM	10.89	0.218	0.118	1.85	4.34	50.00	230	0.050	0.175
6	Default	9/15/2016	2:31 PM	90.16	1.803	0.870	2.07	2.41	50.00	230	0.748	0.216
7	Default	9/15/2016	2:32 PM	11.70	0.234	0.138	1.70	4.71	50.00	230	0.050	0.165
8	Default	9/15/2016	2:32 PM	93.18	1.864	0.913	2.04	2.26	50.00	230	0.824	0.231
9	Default	9/15/2016	2:33 PM	48.26	0.965	0.542	1.78	1.63	50.00	230	0.591	0.214
10	Default	9/15/2016	2:33 PM	23.59	0.472	0.258	1.83	2.82	50.00	230	0.168	0.159
