Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
AFC-F1-1-1-sep28	Default	9/29/2016	4:03 PM	40.19	0.804	0.394	2.04	7.91	50.00	230	0.102	0.020
AFC-F1-3-1-sep28	Default	9/29/2016	4:04 PM	331.45	6.629	3.160	2.10	1.78	50.00	230	3.724	0.591
AFC-F1-5-1-sep28	Default	9/29/2016	4:05 PM	11.11	0.222	0.147	1.51	-1.45	50.00	230	-0.154	-0.010
AFC-F1-13-1-sep28	Default	9/29/2016	4:06 PM	35.38	0.708	0.341	2.07	8.86	50.00	230	0.080	0.034
AFC-F1-15-1-sep28	Default	9/29/2016	4:07 PM	204.90	4.098	1.912	2.14	2.49	50.00	230	1.647	0.116
AFC-F1-18-1-sep28	Default	9/29/2016	4:08 PM	21.24	0.425	0.216	1.97	-6.75	50.00	230	-0.063	0.016
AFC-F1-28-1-sep28	Default	9/29/2016	4:08 PM	99.23	1.985	0.909	2.18	3.47	50.00	230	0.572	0.026
AFC-F1-25-1-sep28	Default	9/29/2016	4:09 PM	18.99	0.380	0.208	1.83	-3.22	50.00	230	-0.118	0.005
AFC-F1-51-1-sep28	Default	9/29/2016	4:10 PM	15.46	0.309	0.155	1.99	-1.87	50.00	230	-0.165	-0.012
AFC-F1-63-1-sep28	Default	9/29/2016	4:11 PM	144.64	2.893	1.359	2.13	2.51	50.00	230	1.153	0.108
AFC-F1-68-1-sep28	Default	9/29/2016	4:12 PM	0.60	0.012	0.012	1.01	-0.04	50.00	230	-0.313	0.010
AFC-F1-27-1-sep28	Default	9/29/2016	4:13 PM	4.79	0.096	0.063	1.53	-0.38	50.00	230	-0.249	-0.016
