id	sex	protocol	measurement	elution_vol	ng/ul 	yield	a260	a280	r_260/280 	r_260/230 	constant	cursor_pos	cursor_abs	raw_340
1	m	1	2	50	92.45	4622.5	1.849	0.904	2.05	2.69	50	230	0.688	0.455
1	m	1	1	50	65.67	3283.5	1.313	0.667	1.97	2.75	50	230	0.478	0.217
2	m	1	2	50	5.63	281.5	0.113	0.085	1.32	11.84	50	230	0.01	0.15
2	m	1	1	50	5.73	286.5	0.115	0.086	1.33	1.64	50	230	0.07	0.006
3	m	1	2	50	114.89	5744.5	2.298	1.088	2.11	2.62	50	230	0.876	0.202
3	m	1	1	50	104.31	5215.5	2.086	0.99	2.11	2.45	50	230	0.85	0.037
4	m	1	2	50	54.14	2707	1.083	0.558	1.94	2.55	50	230	0.424	0.175
4	m	1	1	50	50.37	2518.5	1.007	0.527	1.91	2.22	50	230	0.455	0.017
5	m	1	2	50	10.89	544.5	0.218	0.118	1.85	4.34	50	230	0.05	0.175
5	m	1	1	50	8.94	447	0.179	0.109	1.64	1.82	50	230	0.098	0.002
6	f	1	2	50	90.16	4508	1.803	0.87	2.07	2.41	50	230	0.748	0.216
6	f	1	1	50	86.09	4304.5	1.722	0.854	2.02	2.17	50	230	0.794	0.056
7	f	1	2	50	11.7	585	0.234	0.138	1.7	4.71	50	230	0.05	0.165
7	f	1	1	50	9.33	466.5	0.187	0.119	1.57	1.85	50	230	0.101	-0.005
8	f	1	2	50	93.18	4659	1.864	0.913	2.04	2.26	50	230	0.824	0.231
8	f	1	1	50	87.47	4373.5	1.749	0.86	2.03	2.07	50	230	0.846	0.077
9	f	1	2	50	48.26	2413	0.965	0.542	1.78	1.63	50	230	0.591	0.214
9	f	1	1	50	46.97	2348.5	0.939	0.558	1.68	1.36	50	230	0.691	0.068
10	f	1	2	50	23.59	1179.5	0.472	0.258	1.83	2.82	50	230	0.168	0.159
10	f	1	1	50	17.86	893	0.357	0.219	1.63	1.96	50	230	0.183	-0.011
F1	f	2	1	40	26.03	1041.2	0.521	0.258	2.02	2.29	50	230	0.227	0.194
F2	f	2	1	40	23.57	942.8	0.471	0.216	2.18	2.97	50	230	0.159	0.198
F3	f	2	1	40	34.48	1379.2	0.69	0.345	2	2.72	50	230	0.254	0.133
F4	f	2	1	40	15.65	626	0.313	0.157	1.99	3.76	50	230	0.083	0.121
F5	f	2	1	40	15.91	636.4	0.318	0.162	1.97	3.05	50	230	0.104	0.132
M1	m	2	1	40	19.21	768.4	0.384	0.194	1.98	3.62	50	230	0.106	0.128
M2	m	2	1	40	17.92	716.8	0.358	0.186	1.92	3.33	50	230	0.108	0.114
M3	m	2	1	40	4.68	187.2	0.094	0.053	1.75	-5.3	50	230	-0.018	0.124
M3	m	2	1	40	5.22	208.8	0.104	0.049	2.14	-15.6	50	230	-0.007	0.105
M4	m	2	1	40	13.15	526	0.263	0.14	1.88	3.82	50	230	0.069	0.117
M5	m	2	1	40	15.73	629.2	0.315	0.145	2.17	3.18	50	230	0.099	0.124
F1	f	3	1	30	57.81	1734.3	1.156	0.529	2.19	2.34	50	230	0.495	0.027
F2	f	3	1	30	63.33	1899.9	1.267	0.593	2.14	2.18	50	230	0.58	0.06
F3	f	3	1	30	172.65	5179.5	3.453	1.57	2.2	2.29	50	230	1.509	0.105
F4	f	3	1	30	228.3	6849	4.566	2.052	2.23	2.4	50	230	1.902	0.065
F5	f	3	1	30	23.66	709.8	0.473	0.182	2.6	4.47	50	230	0.106	-0.077
M1	m	3	1	30	156.32	4689.6	3.126	1.458	2.14	2.38	50	230	1.313	0.035
M2	m	3	1	30	138.26	4147.8	2.765	1.302	2.12	2.34	50	230	1.183	0.078
M3	m	3	1	30	108.46	3253.8	2.169	0.998	2.17	2.31	50	230	0.939	0.064
M4	m	3	1	30	14.89	446.7	0.298	0.12	2.48	3.37	50	230	0.088	0.013
M4	m	3	1	30	11.7	351	0.234	0.092	2.55	-9.93	50	230	-0.024	-0.089
M5	m	3	1	30	10.8	324	0.216	0.079	2.73	38.98	50	230	0.006	0.009
