sample_id,date,ng_ul,a260,a280,r260.280,r260.230,a340_raw,extraction_date
AFC-F1-70-3,1/26/2017,723.88,14.478,6.563,2.21,2.01,-3.512,11-Nov
AFC-F1-70-2,1/26/2017,629.79,12.596,5.737,2.2,2.28,-3.69,11-Nov
AFC-F1-71-3,1/26/2017,550.46,11.009,5.427,2.03,2.12,1.38,11-Nov
AFC-F1-71-2,1/26/2017,532.01,10.64,5.014,2.12,2.15,0.318,11-Nov
MC-F1-13-4,1/26/2017,405.15,8.103,3.698,2.19,2.15,0.619,22-Nov
MC-F1-14-4,1/26/2017,360.25,7.205,3.326,2.17,2.38,0.057,22-Nov
AFC-F1-70-4,1/26/2017,357.87,7.157,3.593,1.99,1.7,2.881,11-Nov
AFC-F1-67-2,1/26/2017,357.39,7.148,3.264,2.19,1.95,0.604,11-Nov
AFC-F1-68-3,1/26/2017,348.57,6.971,3.285,2.12,1.93,0.326,18-Oct
AFC-F1-55-3,1/26/2017,335.48,6.71,3.112,2.16,2.39,0.056,11-Nov
AFC-F1-64-2,1/26/2017,318.22,6.364,2.976,2.14,2,0.286,11-Nov
MC-F1-20-3,1/26/2017,299.11,5.982,3.199,1.87,1.13,1.497,22-Nov
MC-F1-13-1,1/26/2017,293.66,5.873,2.803,2.1,1.49,0.551,22-Nov
MC-F1-13-2,1/26/2017,292.57,5.851,2.775,2.11,1.51,0.49,22-Nov
MC-F1-13-5,1/26/2017,292.57,5.851,2.798,2.09,1.6,0.793,22-Nov
MC-F1-13-1,1/26/2017,275.01,5.5,2.653,2.07,1.47,0.522,22-Nov
MC-F1-13-3,1/26/2017,252.18,5.044,2.431,2.07,1.49,0.684,22-Nov
MC-F1-20-3,1/26/2017,250.53,5.011,2.562,1.96,1.36,0.976,22-Nov
AFC-F1-71-4,1/26/2017,242.26,4.845,2.305,2.1,2.01,0.435,11-Nov
MC-F1-13-5,1/26/2017,237.71,4.754,2.359,2.02,0.61,1.405,22-Nov
MC-F1-20-2,1/26/2017,195.19,3.904,1.899,2.06,2.09,0.365,22-Nov
MC-F1-15-4,1/26/2017,190.2,3.804,1.815,2.1,2.16,0.095,22-Nov
AFC-F1-66-2,1/26/2017,181.96,3.639,1.802,2.02,1.66,0.274,11-Nov
AFC-F1-68-4,1/26/2017,175.98,3.52,1.981,1.78,1.8,6.065,11-Nov
AFC-F1-68-4,1/26/2017,167.52,3.35,1.747,1.92,1.76,2.363,11-Nov
MC-F1-06-2,1/26/2017,83.36,1.667,0.792,2.1,1.78,0.137,22-Nov
MC-F1-06-4,1/26/2017,75.08,1.502,0.715,2.1,1.71,0.007,22-Nov
MC-F1-14-2,1/26/2017,72.15,1.443,0.784,1.84,1.56,0.037,22-Nov
MC-F1-14-2,1/26/2017,71.94,1.439,0.76,1.89,1.65,0.074,22-Nov
MC-F1-09-3,1/26/2017,71.11,1.422,0.682,2.08,1.91,-0.024,22-Nov
MC-F1-06-4,1/26/2017,69.5,1.39,0.649,2.14,1.72,0.007,22-Nov
AFC-F1-67-3,1/26/2017,64.7,1.294,0.602,2.15,2.12,0.002,11-Nov
MC-F1-20-4,1/26/2017,57.22,1.144,0.606,1.89,2.29,-0.044,22-Nov
MC-F1-20-4,1/26/2017,56.3,1.126,0.599,1.88,2.28,-0.048,22-Nov
MC-F1-09-5,1/26/2017,55.04,1.101,0.519,2.12,1.7,0.26,22-Nov
AFC-F1-67-4,1/26/2017,54.31,1.086,0.558,1.95,2.29,-0.002,11-Nov
MC-F1-06-1,1/26/2017,46.6,0.932,0.471,1.98,1.08,-0.045,22-Nov
MC-F1-06-1,1/26/2017,46.29,0.926,0.45,2.06,1.11,-0.047,22-Nov
MC-F1-14-3,1/26/2017,45.54,0.911,0.707,1.29,0.81,2.927,22-Nov
MC-F1-17-4,1/26/2017,39.85,0.797,0.436,1.83,1.3,0.226,22-Nov
MC-F1-17-4,1/26/2017,39.46,0.789,0.444,1.78,1.29,0.07,22-Nov
AFC-F1-67-4,1/26/2017,31.7,0.634,0.316,2.01,2.32,-0.017,11-Nov
