population,line_id,type,unique_id,nano,qubit_measured,qubit_vol,qubit_actual,approx_ng,ul.for.500.ng,max.,ul.water.for.50.ul,approx_final_conc,approx_vol_100,cell_name,plate_num,row_name,col_name
MC,27,F1,MC-27-2-F1,17.74,25.3,1,5.06,101.2,98.81422925,yes,determine,2.024,49.40711462,1_A1,1,A,1
AFC,15,F1,AFC-15-1-F1,300.36,324.0,2,32.4,648.0,15.43209877,no,34.56790123,10.0,10.0,1_A2,1,A,2
AFC,60,L,AFC-L60-3,665.18,409.0,2,40.9,818.0,12.22493888,no,37.77506112,10.0,10.0,1_A3,1,A,3
MC,27,L,MC-L27-3,209.04,312.0,2,31.2,624.0,16.02564103,no,33.97435897,10.0,10.0,1_A4,1,A,4
AFC,19,F1,AFC-19-4-F1,344.15,343.0,2,34.3,686.0,14.57725948,no,35.42274052,10.0,10.0,1_A5,1,A,5
MC,6,F1,MC_F1_6-3,NA,530.0,2,53.0,1060.0,9.433962264,no,40.56603774,10.0,10.0,1_A6,1,A,6
MC,19,M,MC_M19_F1_feb21,41.06,50.9,2,5.09,101.8,98.23182711,yes,determine,2.036,49.11591356,1_A7,1,A,7
AFC,6,F1,AFC-6-3-F1,142.38,174.0,2,17.4,348.0,28.73563218,yes,determine,6.96,14.36781609,1_A8,1,A,8
MC,20,L,MC-L20-2,288.91,343.0,2,34.3,686.0,14.57725948,no,35.42274052,10.0,10.0,1_A9,1,A,9
MC,13,F,MC_F13_F1_feb21,481.76,540.0,2,54.0,1080.0,9.259259259,no,40.74074074,10.0,10.0,1_A10,1,A,10
AFC,1,F1,AFC-1-4-F1,421.42,307.0,2,30.7,614.0,16.28664495,no,33.71335505,10.0,10.0,1_A11,1,A,11
MC,5,M,MC-M05-F1-feb16,105.81,162.0,2,16.2,324.0,30.86419753,yes,determine,6.48,15.43209877,1_A12,1,A,12
AFC,12,F1,AFC-12-3-F1,560.9,286.0,2,28.6,572.0,17.48251748,no,32.51748252,10.0,10.0,1_B1,1,B,1
MC,27,F1,MC-27-1-F1,16.42,26.6,1,5.32,106.4,93.98496241,yes,determine,2.128,46.9924812,1_B2,1,B,2
AFC,14,L,AFC-L14-3,89.42,104.0,2,10.4,208.0,48.07692308,yes,determine,4.16,24.03846154,1_B3,1,B,3
AFC,2,F1,AFC-2-2-F1,819.29,408.0,2,40.8,816.0,12.25490196,no,37.74509804,10.0,10.0,1_B4,1,B,4
AFC,7,F1,AFC-7-1-F1,380.43,314.0,2,31.4,628.0,15.92356688,no,34.07643312,10.0,10.0,1_B5,1,B,5
MC,27,M,MC_M27_F1_feb21,57.64,68.8,2,6.88,137.6,72.6744186,yes,determine,2.752,36.3372093,1_B6,1,B,6
VY,VY,L,VY-L10,325.05,257.0,2,25.7,514.0,19.45525292,no,30.54474708,10.0,10.0,1_B7,1,B,7
MC,9,F1,MC_F1_9-1,578.58,540.0,2,54.0,1080.0,9.259259259,no,40.74074074,10.0,10.0,1_B8,1,B,8
AFC,30,L,AFC-L30-4,201.36,403.0,2,40.3,806.0,12.40694789,no,37.59305211,10.0,10.0,1_B9,1,B,9
AFC,25,F1,AFC-25-4-F1,123.6,149.0,2,14.9,298.0,33.55704698,yes,determine,5.96,16.77852349,1_B10,1,B,10
MC,13,L,MC-L13-1,262.19,427.0,2,42.7,854.0,11.70960187,no,38.29039813,10.0,10.0,1_B11,1,B,11
MC,12,F,MC_F12_F1_feb21,144.67,222.0,2,22.2,444.0,22.52252252,no,27.47747748,10.0,10.0,1_B12,1,B,12
MC,14,F1,MC-14-1-F1,449.74,389.0,2,38.9,778.0,12.85347044,no,37.14652956,10.0,10.0,1_C1,1,C,1
MC,6,M,MC-M06-F1-feb16,54.24,75.8,2,7.58,151.6,65.96306069,yes,determine,3.032,32.98153034,1_C2,1,C,2
