"enzyme_name" "num_ind" "number_of_fragments" "mean_reads_per_fragment_per_ind" "prop_fragments_useable" "number_fragments_usable" "mean_top_n_fragments" "min_top_n_fragments" "max_top_n_fragments"
"1" "Csp6I" 20 55670 89.814981138854 0.842698042033411 46913 444 357 1091
"2" "Csp6I" 40 55670 44.907490569427 0.715052990838872 39807 218 175 537
"3" "Csp6I" 60 55670 29.9383270462847 0.631956170289204 35181 146 117 358
"4" "Csp6I" 80 55670 22.4537452847135 0.398221663373451 22169 111 89 272
"5" "Csp6I" 100 55670 17.9629962277708 0.424124303933896 23611 96 77 237
"6" "Csp6I" 120 55670 14.9691635231423 0.315753547691755 17578 73 59 180
"7" "Csp6I" 140 55670 12.8307115912649 0.291665169750314 16237 65 52 159
"8" "Csp6I" 160 55670 11.2268726423567 0.23811747799533 13256 57 46 139
"9" "Csp6I" 180 55670 9.97944234876155 0.180168852164541 10030 49 39 120
"10" "Csp6I" 200 55670 8.9814981138854 0.181192742949524 10087 45 36 110
"11" "Csp6I" 220 55670 8.16499828535036 0.142320819112628 7923 41 33 101
"12" "Csp6I" 240 55670 7.48458176157116 0.123495599065924 6875 39 31 95
"13" "Csp6I" 260 55670 6.90884470298877 0.102766301419077 5721 34 28 84
"14" "Csp6I" 280 55670 6.41535579563243 0.0793784803305191 4419 31 25 75
"15" "Csp6I" 300 55670 5.98766540925693 0.084641638225256 4712 31 25 76
"16" "Csp6I" 320 55670 5.61343632117837 0.049056942698042 2731 27 22 67
"17" "Csp6I" 340 55670 5.28323418463847 0.0469732351356206 2615 26 21 64
"18" "Csp6I" 360 55670 4.98972117438078 0.0458595293694988 2553 24 20 60
"19" "Csp6I" 380 55670 4.727104270466 0.0312915394287767 1742 23 19 57
"20" "Csp6I" 400 55670 4.4907490569427 0.0213041135261362 1186 21 17 52
"21" "Csp6I" 420 55670 4.27690386375495 0.0280043111190947 1559 22 17 53
"22" "Csp6I" 440 55670 4.08249914267518 0.0201544817675588 1122 20 16 49
"23" "Csp6I" 460 55670 3.90499917995017 0.0267109753906952 1487 20 16 50
"24" "Csp6I" 480 55670 3.74229088078558 0.0150709538350997 839 19 15 46
"25" "Csp6I" 500 55670 3.59259924555416 0.012933357283995 720 18 15 44
"26" "Csp6I" 520 55670 3.45442235149438 0.0134363211783726 748 17 14 42
"27" "Csp6I" 540 55670 3.32648078292052 0.00995149991018502 554 17 13 41
"28" "Csp6I" 560 55670 3.20767789781621 0.007993533321358 445 16 13 39
"29" "Csp6I" 580 55670 3.0970683151329 0.00650260463445303 362 15 12 38
"30" "Csp6I" 600 55670 2.99383270462847 0.00353871025687085 197 15 12 36
"31" "MspI_EcoRI" 20 47425 105.429625724829 0.877764891934634 41628 523 416 1056
"32" "MspI_EcoRI" 40 47425 52.7148128624143 0.759894570374275 36038 251 200 506
"33" "MspI_EcoRI" 60 47425 35.1432085749429 0.631628887717449 29955 168 134 339
"34" "MspI_EcoRI" 80 47425 26.3574064312072 0.528202424881392 25050 121 96 243
"35" "MspI_EcoRI" 100 47425 21.0859251449657 0.448476541908276 21269 104 83 210
"36" "MspI_EcoRI" 120 47425 17.5716042874714 0.408160253031102 19357 83 66 169
"37" "MspI_EcoRI" 140 47425 15.061375103547 0.339103848181339 16082 72 57 145
"38" "MspI_EcoRI" 160 47425 13.1787032156036 0.266800210859251 12653 63 50 127
"39" "MspI_EcoRI" 180 47425 11.7144028583143 0.266020031628888 12616 56 45 113
"40" "MspI_EcoRI" 200 47425 10.5429625724829 0.248581971534001 11789 54 43 109
"41" "MspI_EcoRI" 220 47425 9.58451142952988 0.184269899841856 8739 47 37 95
"42" "MspI_EcoRI" 240 47425 8.78580214373572 0.156267791249341 7411 42 34 86
"43" "MspI_EcoRI" 260 47425 8.10997120960221 0.155614127569847 7380 40 32 80
"44" "MspI_EcoRI" 280 47425 7.53068755177348 0.131512915129151 6237 36 29 73
"45" "MspI_EcoRI" 300 47425 7.02864171498858 0.0953083816552451 4520 32 25 64
"46" "MspI_EcoRI" 320 47425 6.58935160780179 0.09231418028466 4378 32 25 64
"47" "MspI_EcoRI" 340 47425 6.2017426896958 0.0631312598840274 2994 29 23 59
"48" "MspI_EcoRI" 360 47425 5.85720142915715 0.0472746441750132 2242 27 22 55
"49" "MspI_EcoRI" 380 47425 5.54892766972783 0.0488560885608856 2317 26 21 53
"50" "MspI_EcoRI" 400 47425 5.27148128624143 0.056025303110174 2657 26 21 53
"51" "MspI_EcoRI" 420 47425 5.02045836784898 0.0457142857142857 2168 25 20 50
"52" "MspI_EcoRI" 440 47425 4.79225571476494 0.0285714285714286 1355 23 18 46
"53" "MspI_EcoRI" 460 47425 4.58389677064473 0.0310806536636795 1474 22 17 44
"54" "MspI_EcoRI" 480 47425 4.39290107186786 0.0191881918819188 910 21 16 42
"55" "MspI_EcoRI" 500 47425 4.21718502899315 0.0218871903004744 1038 20 16 40
"56" "MspI_EcoRI" 520 47425 4.0549856048011 0.017859778597786 847 19 15 38
"57" "MspI_EcoRI" 540 47425 3.90480095277143 0.0150342646283606 713 18 15 37
"58" "MspI_EcoRI" 560 47425 3.76534377588674 0.0124828676858197 592 17 14 35
"59" "MspI_EcoRI" 580 47425 3.63550433533892 0.0113863995782815 540 18 14 35
"60" "MspI_EcoRI" 600 47425 3.51432085749429 0.0112598840274117 534 17 14 35
