pop,female_id,date,sub_id,extracted
AFC,1,28-Sep,1,1
AFC,1,19-Oct,2,1
AFC,1,19-Oct,3,1
AFC,3,28-Sep,1,1
AFC,3,19-Oct,2,1
AFC,3,19-Oct,3,1
AFC,5,28-Sep,1,1
AFC,5,18-Oct,1,1
AFC,5,19-Oct,3,1
AFC,5,11-Nov,4,1
AFC,7,18-Oct,1,1
AFC,7,11-Nov,2,1
AFC,13,28-Sep,1,1
AFC,13,19-Oct,2,1
AFC,13,19-Oct,3,1
AFC,15,28-Sep,1,1
AFC,15,19-Oct,2,1
AFC,18,28-Sep,1,1
AFC,18,19-Oct,2,1
AFC,25,28-Sep,1,1
AFC,25,19-Oct,2,1
AFC,27,28-Sep,1,1
AFC,27,19-Oct,2,1
AFC,28,28-Sep,1,1
AFC,28,11-Nov,2,1
AFC,42,18-Oct,1,1
AFC,42,11-Nov,2,1
AFC,50,18-Oct,1,1
AFC,50,11-Nov,2,1
AFC,51,28-Sep,1,1
AFC,51,19-Oct,2,1
AFC,55,18-Oct,1,1
AFC,55,18-Oct,2,1
AFC,55,11-Nov,3,1
AFC,63,28-Sep,1,1
AFC,63,19-Oct,2,1
AFC,64,18-Oct,1,1
AFC,64,11-Nov,2,1
AFC,66,18-Oct,1,1
AFC,66,11-Nov,2,1
AFC,67,11-Nov,1,1
AFC,68,28-Sep,1,1
AFC,68,18-Oct,2,1
AFC,68,18-Oct,3,1
AFC,68,11-Nov,4,1
AFC,70,18-Oct,1,1
AFC,70,11-Nov,2,1
AFC,71,18-Oct,1,1
AFC,71,11-Nov,2,1
MC,6,21-Nov,1,1
MC,9,21-Nov,1,1
MC,13,21-Nov,1,1
MC,14,21-Nov,1,1
MC,15,21-Nov,1,1
MC,17,21-Nov,1,1
MC,20,21-Nov,1,1
MC,27,21-Nov,1,1
