pop,line_id,type,unique_id,plate,row,col,ul_500ng,max.,water,qubit,~ng
MC,27,F1,MC-27-2-F1,1,A,1,98.81,yes,det,5.06,101
AFC,15,F1,AFC-15-1-F1,1,A,2,15.43,no,34.57,32.4,648
AFC,60,L,AFC-L60-3,1,A,3,12.22,no,37.78,40.9,818
MC,27,L,MC-L27-3,1,A,4,16.03,no,33.97,31.2,624
AFC,19,F1,AFC-19-4-F1,1,A,5,14.58,no,35.42,34.3,686
MC,6,F1,MC_F1_6-3,1,A,6,9.43,no,40.57,53,1060
MC,19,M,MC_M19_F1,1,A,7,98.23,yes,det,5.09,102
AFC,6,F1,AFC-6-3-F1,1,A,8,28.74,yes,det,17.4,348
MC,20,L,MC-L20-2,1,A,9,14.58,no,35.42,34.3,686
MC,13,F,MC_F13_F1,1,A,10,9.26,no,40.74,54,1080
AFC,1,F1,AFC-1-4-F1,1,A,11,16.29,no,33.71,30.7,614
MC,5,M,MC-M05-F1,1,A,12,30.86,yes,det,16.2,324
AFC,12,F1,AFC-12-3-F1,1,B,1,17.48,no,32.52,28.6,572
MC,27,F1,MC-27-1-F1,1,B,2,93.98,yes,det,5.32,106
AFC,14,L,AFC-L14-3,1,B,3,48.08,yes,det,10.4,208
AFC,2,F1,AFC-2-2-F1,1,B,4,12.25,no,37.75,40.8,816
AFC,7,F1,AFC-7-1-F1,1,B,5,15.92,no,34.08,31.4,628
MC,27,M,MC_M27_F1,1,B,6,72.67,yes,det,6.88,138
VY,VY,L,VY-L10,1,B,7,19.46,no,30.54,25.7,514
MC,9,F1,MC_F1_9-1,1,B,8,9.26,no,40.74,54,1080
AFC,30,L,AFC-L30-4,1,B,9,12.41,no,37.59,40.3,806
AFC,25,F1,AFC-25-4-F1,1,B,10,33.56,yes,det,14.9,298
MC,13,L,MC-L13-1,1,B,11,11.71,no,38.29,42.7,854
MC,12,F,MC_F12_F1,1,B,12,22.52,no,27.48,22.2,444
MC,14,F1,MC-14-1-F1,1,C,1,12.85,no,37.15,38.9,778
MC,6,M,MC-M06-F1,1,C,2,65.96,yes,det,7.58,152
MC,6,L,MC-L6-4,1,C,3,10.55,no,39.45,47.4,948
AFC,12,L,AFC_F1_L12-4,1,C,4,21.01,no,28.99,23.8,476
AFC,6,F1,AFC-6-2-F1,1,C,5,19.16,no,30.84,26.1,522
AFC,42,F1,AFC-42-3-F1,1,C,6,10,no,40,50,1000
MC,17,F1,MC-17-2-F1,1,C,7,14.16,no,35.84,35.3,706
AFC,47,L,AFC-L47-4,1,C,8,14.84,no,35.16,33.7,674
MC,21,M,MC_M21_F1,1,C,9,49.5,yes,det,10.1,202
MC,6,L,MC-L6-3,1,C,10,14.25,no,35.75,35.1,702
AFC,60,L,AFC-L60-2,1,C,11,12.56,no,37.44,39.8,796
AFC,57,L,AFC-L57-4,1,C,12,11.52,no,38.48,43.4,868
MC,20,F,MC_F1_F20,1,D,1,26.6,yes,det,18.8,376
MC,9,F,MC_F9_F1,1,D,2,10.87,no,39.13,46,920
AFC,43,F1,AFC-43-1-F1,1,D,3,18.8,no,31.2,26.6,532
AFC,46,F1,AFC-46-1-F1,1,D,4,10.35,no,39.65,48.3,966
AFC,50,F1,AFC-50-3-F1,1,D,5,10.18,no,39.82,49.1,982
AFC,55,F1,AFC-55-3-F1,1,D,6,10.55,no,39.45,47.4,948
MC,25,F,MC_F1_F25,1,D,7,12.17,no,37.83,41.1,822
AFC,56,F1,AFC-56-4-F1,1,D,8,10.14,no,39.86,49.3,986
AFC,48,F1,AFC-48-4-F1,1,D,9,8.62,no,41.38,58,1160
MC,7,M,MC-M07-F1,1,D,10,16.39,no,33.61,30.5,610
AFC,42,F1,AFC-42-4-F1,1,D,11,10.2,no,39.8,49,980
MV,225,L,MV_F1_L-11,1,D,12,19.76,no,30.24,25.3,506
AFC,64,F1,AFC-64-3-F1,1,E,1,12.22,no,37.78,40.9,818
MC,9,F1,MC_F1_9-3,1,E,2,14.04,no,35.96,35.6,712
AFC,46,F1,AFC-46-2-F1,1,E,3,11.47,no,38.53,43.6,872
AFC,70,F1,AFC-70-2-F1,1,E,4,8.38,no,41.62,59.7,1194
FL,14,L,FL-L11,1,E,5,24.51,no,25.49,20.4,408
MC,13,F1,MC-13-4-F1,1,E,6,13.81,no,36.19,36.2,724
AFC,19,L,AFC_F1_L19-2,1,E,7,10.92,no,39.08,45.8,916
AFC,13,F1,AFC-13-4-F1,1,E,8,14.16,no,35.84,35.3,706
AFC,47,F1,AFC-47-3-F1,1,E,9,11.79,no,38.21,42.4,848
FL,14,L,FL-L10,1,E,10,27.17,yes,det,18.4,368
AFC,5,F1,AFC-5-2-F1,1,E,11,21.37,no,28.63,23.4,468
AFC,27,F1,AFC-27-4-F1,1,E,12,19.01,no,30.99,26.3,526
MV,225,L,MV-L5,1,F,1,16.45,no,33.55,30.4,608
MC,17,F1,MC-17-5-F1,1,F,2,99.6,yes,det,5.02,100
AFC,70,F1,AFC-70-3-F1,1,F,3,6.31,no,43.69,79.3,1586
MC,23,F,MC_F1_F23,1,F,4,11.74,no,38.26,42.6,852
MC,15,F,MC_F15_F1,1,F,5,17.61,no,32.39,28.4,568
AFC,71,F1,AFC-71-3-F1,1,F,6,7.45,no,42.55,67.1,1342
AFC,55,F1,AFC-55-4-F1,1,F,7,11.6,no,38.4,43.1,862
AFC,8,F1,AFC-8-2-F1,1,F,8,16.45,no,33.55,30.4,608
AFC,56,F1,AFC-56-1-F1,1,F,9,14.33,no,35.67,34.9,698
MC,13,L,MC-L13-4,1,F,10,12.56,no,37.44,39.8,796
MC,1,F,MC_F1_F1,1,F,11,13.37,no,36.63,37.4,748
AFC,7,F1,AFC-7-4-F1,1,F,12,12.95,no,37.05,38.6,772
AFC,56,L,AFC-L56-3,1,G,1,15.2,no,34.8,32.9,658
AFC,48,L,AFC_F1_L48-3,1,G,2,13.85,no,36.15,36.1,722
MC,11,F,MC_F11_F1,1,G,3,14.08,no,35.92,35.5,710
MC,20,F1,MC-20-3-F1,1,G,4,45.05,yes,det,11.1,222
AFC,59,F1,AFC-59-2-F1,1,G,5,25.13,yes,det,19.9,398
AFC,3,F1,AFC-3-3-F1,1,G,6,21.19,no,28.81,23.6,472
AFC,28,F1,AFC-28-3-F1,1,G,7,11.68,no,38.32,42.8,856
VY,VY,L,VY-L6,1,G,8,32.05,yes,det,15.6,312
MC,1,M,MC-M01-F1,1,G,9,37.04,yes,det,13.5,270
AFC,24,L,AFC_F1_L24-1,1,G,10,9.43,no,40.57,53,1060
AFC,2,F1,AFC-2-4-F1,1,G,11,14.37,no,35.63,34.8,696
MC,5,F,MC_F5_F1,1,G,12,24.15,no,25.85,20.7,414
MC,15,L,MC-L15-3,1,H,1,11.47,no,38.53,43.6,872
MC,6,F,MC_F6_F1,1,H,2,15.53,no,34.47,32.2,644
AFC,14,F1,AFC-14-2-F1,1,H,3,10.99,no,39.01,45.5,910
MC,3,F,MC_F3_F1,1,H,4,38.46,yes,det,13,260
AFC,24,L,AFC_F1_L24-3,1,H,5,10.82,no,39.18,46.2,924
MC,14,L,MC-L14-3,1,H,6,10.64,no,39.36,47,940
