pop,line_id,type,unique_id,plate,col,row,ul_500ng,max.,water,qubit,~ng,q_post_raw,qubit_post_dig,ul_100ng,ul_water
MC,27,F1,MC-27-2-F1,P1,1,A,98.81,yes,det,5.06,101,31.4,6.28,15.9,34.1
AFC,12,F1,AFC-12-3-F1,P1,1,B,17.48,no,32.52,28.6,572,20.1,4.02,24.9,25.1
MC,14,F1,MC-14-1-F1,P1,1,C,12.85,no,37.15,38.9,778,53.7,10.74,9.3,40.7
MC,20,F,MC_F1_F20,P1,1,D,26.6,yes,det,18.8,376,28,5.6,17.9,32.1
AFC,64,F1,AFC-64-3-F1,P1,1,E,12.22,no,37.78,40.9,818,36.6,7.32,13.7,36.3
MV,225,L,MV-L5,P1,1,F,16.45,no,33.55,30.4,608,75.6,15.12,6.6,43.4
AFC,56,L,AFC-L56-3,P1,1,G,15.2,no,34.8,32.9,658,58.7,11.74,8.5,41.5
MC,15,L,MC-L15-3,P1,1,H,11.47,no,38.53,43.6,872,14.9,2.98,33.6,16.4
AFC,15,F1,AFC-15-1-F1,P1,2,A,15.43,no,34.57,32.4,648,21.6,4.32,23.1,26.9
MC,27,F1,MC-27-1-F1,P1,2,B,93.98,yes,det,5.32,106,15.2,3.04,32.9,17.1
MC,6,M,MC-M06-F1,P1,2,C,65.96,yes,det,7.58,152,2.08,0.416,240.4,-190.4
MC,9,F,MC_F9_F1,P1,2,D,10.87,no,39.13,46,920,28.2,5.64,17.7,32.3
MC,9,F1,MC_F1_9-3,P1,2,E,14.04,no,35.96,35.6,712,30.1,6.02,16.6,33.4
MC,17,F1,MC-17-5-F1,P1,2,F,99.6,yes,det,5.02,100,11.7,2.34,42.7,7.3
AFC,48,L,AFC_F1_L48-3,P1,2,G,13.85,no,36.15,36.1,722,12.4,2.48,40.3,9.7
MC,6,F,MC_F6_F1,P1,2,H,15.53,no,34.47,32.2,644,36.1,7.22,13.9,36.1
AFC,60,L,AFC-L60-3,P1,3,A,12.22,no,37.78,40.9,818,18.5,3.7,27.0,23.0
AFC,14,L,AFC-L14-3,P1,3,B,48.08,yes,det,10.4,208,58,11.6,8.6,41.4
MC,6,L,MC-L6-4,P1,3,C,10.55,no,39.45,47.4,948,7.14,1.428,70.0,-20.0
AFC,43,F1,AFC-43-1-F1,P1,3,D,18.8,no,31.2,26.6,532,27,5.4,18.5,31.5
AFC,46,F1,AFC-46-2-F1,P1,3,E,11.47,no,38.53,43.6,872,17.8,3.56,28.1,21.9
AFC,70,F1,AFC-70-3-F1,P1,3,F,6.31,no,43.69,79.3,1586,53.5,10.7,9.3,40.7
MC,11,F,MC_F11_F1,P1,3,G,14.08,no,35.92,35.5,710,19.7,3.94,25.4,24.6
AFC,14,F1,AFC-14-2-F1,P1,3,H,10.99,no,39.01,45.5,910,25.5,5.1,19.6,30.4
MC,27,L,MC-L27-3,P1,4,A,16.03,no,33.97,31.2,624,34.3,6.86,14.6,35.4
AFC,2,F1,AFC-2-2-F1,P1,4,B,12.25,no,37.75,40.8,816,46.9,9.38,10.7,39.3
AFC,12,L,AFC_F1_L12-4,P1,4,C,21.01,no,28.99,23.8,476,30.7,6.14,16.3,33.7
AFC,46,F1,AFC-46-1-F1,P1,4,D,10.35,no,39.65,48.3,966,27.8,5.56,18.0,32.0
AFC,70,F1,AFC-70-2-F1,P1,4,E,8.38,no,41.62,59.7,1194,41.5,8.3,12.0,38.0
MC,23,F,MC_F1_F23,P1,4,F,11.74,no,38.26,42.6,852,40.6,8.12,12.3,37.7
MC,20,F1,MC-20-3-F1,P1,4,G,45.05,yes,det,11.1,222,44.6,8.92,11.2,38.8
MC,3,F,MC_F3_F1,P1,4,H,38.46,yes,det,13,260,50.3,10.06,9.9,40.1
AFC,19,F1,AFC-19-4-F1,P1,5,A,14.58,no,35.42,34.3,686,65.9,13.18,7.6,42.4
AFC,7,F1,AFC-7-1-F1,P1,5,B,15.92,no,34.08,31.4,628,70.3,14.06,7.1,42.9
AFC,6,F1,AFC-6-2-F1,P1,5,C,19.16,no,30.84,26.1,522,62.2,12.44,8.0,42.0
AFC,50,F1,AFC-50-3-F1,P1,5,D,10.18,no,39.82,49.1,982,26.1,5.22,19.2,30.8
FL,14,L,FL-L11,P1,5,E,24.51,no,25.49,20.4,408,63.2,12.64,7.9,42.1
MC,15,F,MC_F15_F1,P1,5,F,17.61,no,32.39,28.4,568,34.6,6.92,14.5,35.5
AFC,59,F1,AFC-59-2-F1,P1,5,G,25.13,yes,det,19.9,398,24.9,4.98,20.1,29.9
