population,female_id,sub_id,generation,source_box,sex
AFC,1,1,F1,B,
AFC,1,2,F1,B,
AFC,1,3,F1,B,
AFC,1,4,F1,B,
AFC,2,1,F1,C,
AFC,2,2,F1,C,
AFC,2,3,F1,C,
AFC,2,4,F1,C,
AFC,3,1,F1,B,
AFC,3,2,F1,B,
AFC,3,3,F1,B,
AFC,3,4,F1,B,
AFC,5,1,F1,A,
AFC,5,2,F1,A,
AFC,5,3,F1,A,
AFC,5,4,F1,A,
AFC,6,1,F1,C,
AFC,6,2,F1,C,
AFC,6,3,F1,C,
AFC,6,4,F1,C,
AFC,7,1,F1,A,
AFC,7,2,F1,A,
AFC,7,3,F1,A,
AFC,7,4,F1,A,
AFC,8,1,F1,C,
AFC,8,2,F1,C,
AFC,8,3,F1,C,
AFC,8,4,F1,C,
AFC,11,1,F1,C,
AFC,11,2,F1,C,
AFC,11,3,F1,C,
AFC,11,4,F1,C,
AFC,12,1,F1,C,
AFC,12,2,F1,C,
AFC,12,3,F1,C,
AFC,12,4,F1,C,
AFC,13,1,F1,B,
AFC,13,2,F1,B,
AFC,13,3,F1,B,
AFC,13,4,F1,B,
AFC,14,1,F1,C,
AFC,14,2,F1,C,
AFC,14,3,F1,C,
AFC,14,4,F1,C,
AFC,15,1,F1,B,
AFC,15,2,F1,B,
AFC,15,3,F1,B,
AFC,15,4,F1,B,
AFC,18,1,F1,B,
AFC,18,2,F1,B,
AFC,18,3,F1,B,
AFC,18,4,F1,B,
AFC,19,1,F1,C,
AFC,19,2,F1,C,
AFC,19,3,F1,C,
AFC,19,4,F1,C,
AFC,24,1,F1,C,
AFC,24,2,F1,C,
AFC,24,3,F1,C,
AFC,24,4,F1,C,
AFC,25,1,F1,B,
AFC,25,2,F1,B,
AFC,25,3,F1,B,
AFC,25,4,F1,B,
AFC,27,1,F1,B,
AFC,27,2,F1,B,
AFC,27,3,F1,B,
AFC,27,4,F1,B,
AFC,28,1,F1,A,
AFC,28,2,F1,A,
AFC,28,3,F1,A,
AFC,28,4,F1,A,
AFC,29,1,F1,C,
AFC,29,2,F1,C,
AFC,29,3,F1,C,
AFC,29,4,F1,C,
AFC,30,1,F1,C,
AFC,30,2,F1,C,
AFC,30,3,F1,C,
AFC,30,4,F1,C,
AFC,42,1,F1,A,
AFC,42,2,F1,A,
AFC,42,3,F1,A,
AFC,42,4,F1,A,
AFC,43,1,F1,C,
AFC,43,2,F1,C,
AFC,43,3,F1,C,
AFC,43,4,F1,C,
AFC,46,1,F1,C,
AFC,46,2,F1,C,
AFC,46,3,F1,C,
AFC,46,4,F1,C,
