Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
AFC-1-4-F1-dec06	Default	12/6/2016	3:24 PM	409.60	8.192	3.756	2.18	2.57	50.00	230	3.189	1.148
AFC-66-3-F1-dec06	Default	12/6/2016	3:27 PM	355.52	7.110	3.259	2.18	2.68	50.00	230	2.651	0.290
AFC-64-3-F1-dec06	Default	12/6/2016	3:28 PM	528.07	10.561	5.270	2.00	1.73	50.00	230	6.116	1.157
AFC-64-4-F1-dec06	Default	12/6/2016	3:30 PM	418.13	8.363	3.695	2.26	1.77	50.00	230	4.729	0.148
AFC-63-3-F1-dec06	Default	12/6/2016	3:32 PM	66.41	1.328	0.701	1.89	-16.85	50.00	230	-0.079	0.305
AFC-63-3-F1-dec06	Default	12/6/2016	3:34 PM	54.42	1.088	0.551	1.98	-3.21	50.00	230	-0.339	-0.016
AFC-63-4-F1-dec06	Default	12/6/2016	3:36 PM	437.67	8.753	4.010	2.18	2.95	50.00	230	2.968	0.159
AFC-51-3-F1-dec06	Default	12/6/2016	3:38 PM	333.82	6.676	2.987	2.24	3.17	50.00	230	2.106	0.148
AFC-51-4-F1-dec06	Default	12/6/2016	3:40 PM	37.56	0.751	0.347	2.17	-1.81	50.00	230	-0.414	0.015
AFC-03-4-F1-dec06	Default	12/6/2016	3:42 PM	182.71	3.654	1.708	2.14	4.22	50.00	230	0.866	0.094
AFC-13-4-F1-dec06	Default	12/6/2016	3:44 PM	383.63	7.673	3.822	2.01	2.45	50.00	230	3.127	5.372
AFC-15-3-F1-dec06	Default	12/6/2016	3:45 PM	195.94	3.919	1.887	2.08	3.95	50.00	230	0.991	0.134
AFC-15-4-F1-dec06	Default	12/6/2016	3:47 PM	466.72	9.334	4.475	2.09	2.06	50.00	230	4.537	0.640
AFC-25-3-F1-dec06	Default	12/6/2016	3:49 PM	90.53	1.811	0.951	1.90	-17.67	50.00	230	-0.102	-0.040
AFC-25-3-F1-dec06	Default	12/6/2016	3:50 PM	92.25	1.845	0.922	2.00	-16.80	50.00	230	-0.110	-0.034
AFC-25-4-F1-dec06	Default	12/6/2016	3:52 PM	123.60	2.472	1.202	2.06	18.00	50.00	230	0.137	-0.050
AFC-27-3-F1-dec06	Default	12/6/2016	3:54 PM	284.54	5.691	2.687	2.12	3.37	50.00	230	1.687	0.122
AFC-27-4-F1-dec06	Default	12/6/2016	3:56 PM	243.02	4.860	2.300	2.11	4.28	50.00	230	1.134	0.111
