Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
AFC-54-2-F1-feb02	Default	2/2/2017	12:14 PM	476.50	9.530	4.347	2.19	2.29	50.00	230	4.156	0.129
AFC-54-2-F1-feb02	Default	2/2/2017	12:15 PM	461.40	9.228	4.194	2.20	2.24	50.00	230	4.126	0.167
AFC-54-3-F1-feb02	Default	2/2/2017	12:17 PM	482.55	9.651	4.483	2.15	2.19	50.00	230	4.398	0.213
AFC-54-4-F1-feb02	Default	2/2/2017	12:19 PM	13.85	0.277	0.147	1.88	1.94	50.00	230	0.143	-0.047
AFC-54-4-F1-feb02	Default	2/2/2017	12:20 PM	21.70	0.434	0.231	1.88	1.98	50.00	230	0.219	-0.068
AFC-56-1-F1-feb02	Default	2/2/2017	12:23 PM	298.22	5.964	2.630	2.27	2.48	50.00	230	2.409	0.015
AFC-56-2-F1-feb02	Default	2/2/2017	12:24 PM	261.35	5.227	2.344	2.23	2.34	50.00	230	2.237	0.033
AFC-56-3-F1-feb02	Default	2/2/2017	12:26 PM	7.61	0.152	0.081	1.88	2.02	50.00	230	0.075	-0.065
AFC-56-3-F1-feb02	Default	2/2/2017	12:27 PM	8.26	0.165	0.065	2.54	2.14	50.00	230	0.077	-0.055
AFC-56-4-F1-feb02	Default	2/2/2017	12:28 PM	394.55	7.891	3.550	2.22	2.35	50.00	230	3.356	0.111
AFC-57-3-F1-feb02	Default	2/2/2017	12:30 PM	550.15	11.003	5.013	2.19	2.20	50.00	230	5.009	0.235
AFC-57-4-F1-feb02	Default	2/2/2017	12:31 PM	396.02	7.920	3.664	2.16	2.37	50.00	230	3.337	0.058
AFC-49-1-F1-feb02	Default	2/2/2017	12:34 PM	284.39	5.688	3.045	1.87	1.00	50.00	230	5.672	1.370
AFC-49-1-F1-feb02	Default	2/2/2017	12:35 PM	201.74	4.035	2.053	1.97	1.28	50.00	230	3.140	0.568
AFC-49-2-F1-feb02	Default	2/2/2017	12:37 PM	15.78	0.316	0.164	1.93	1.48	50.00	230	0.214	-0.726
AFC-49-2-F1-feb02	Default	2/2/2017	12:38 PM	13.70	0.274	0.144	1.91	1.54	50.00	230	0.177	-0.079
AFC-49-3-F1-feb02	Default	2/2/2017	12:39 PM	78.85	1.577	0.769	2.05	2.04	50.00	230	0.772	-0.006
AFC-49-4-F1-feb02	Default	2/2/2017	12:41 PM	252.93	5.059	2.569	1.97	1.24	50.00	230	4.066	0.825
AFC-49-4-F1-feb02	Default	2/2/2017	12:42 PM	146.20	2.924	1.338	2.19	2.00	50.00	230	1.464	0.073
AFC-50-3-F1-feb02	Default	2/2/2017	12:44 PM	325.39	6.508	3.001	2.17	2.30	50.00	230	2.828	0.139
AFC-50-4-F1-feb02	Default	2/2/2017	12:45 PM	503.08	10.062	4.471	2.25	2.19	50.00	230	4.593	0.177
AFC-55-3-F1-feb02	Default	2/2/2017	12:46 PM	378.25	7.565	3.464	2.18	2.37	50.00	230	3.193	0.064
AFC-55-4-F1-feb02	Default	2/2/2017	12:48 PM	312.26	6.245	2.899	2.15	2.62	50.00	230	2.385	-0.032
AFC-54-1-F1-feb02	Default	2/2/2017	12:49 PM	406.68	8.134	3.676	2.21	2.27	50.00	230	3.586	0.093
