Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
AFC-5-1-F1-Nov11	Default	11/29/2016	4:09 PM	334.20	6.684	3.160	2.12	2.92	50.00	230	2.289	0.335
AFC-7-1-F1-Nov11	Default	11/29/2016	4:12 PM	272.37	5.447	2.848	1.91	2.94	50.00	230	1.854	4.285
AFC-55-1-F1-Nov11	Default	11/29/2016	4:14 PM	258.49	5.170	2.670	1.94	4.20	50.00	230	1.230	4.384
AFC-28-1-F1-Nov11	Default	11/29/2016	4:16 PM	229.91	4.598	2.235	2.06	5.30	50.00	230	0.868	0.304
AFC-50-1-F1-Nov11	Default	11/29/2016	4:17 PM	294.06	5.881	2.795	2.10	3.09	50.00	230	1.902	0.367
AFC-71-1-F1-Nov11	Default	11/29/2016	4:19 PM	481.36	9.627	4.512	2.13	3.23	50.00	230	2.984	0.240
AFC-42-1-F1-Nov11	Default	11/29/2016	4:20 PM	317.25	6.345	2.981	2.13	2.92	50.00	230	2.175	0.368
AFC-64-1-F1-Nov11	Default	11/29/2016	4:21 PM	336.67	6.733	3.165	2.13	3.17	50.00	230	2.124	0.330
AFC-66-1-F1-Nov11	Default	11/29/2016	4:22 PM	169.38	3.388	1.703	1.99	2.67	50.00	230	1.270	0.465
AFC-67-1-F1-Nov11	Default	11/29/2016	4:25 PM	61.40	1.228	0.623	1.97	-1.54	50.00	230	-0.797	0.010
AFC-68-1-F1-Nov11	Default	11/29/2016	4:26 PM	154.33	3.087	1.429	2.16	-475.98	50.00	230	-0.006	-0.007
AFC-70-1-F1-Nov11	Default	11/29/2016	4:27 PM	587.17	11.743	5.499	2.14	2.90	50.00	230	4.043	0.282
