Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
AFC-66-2-F1-Nov11	Default	1/26/2017	10:34 AM	168.36	3.367	1.861	1.81	1.34	50.00	230	2.521	3.133
AFC-64-2-F1-Nov11	Default	1/26/2017	10:38 AM	318.22	6.364	2.976	2.14	2.00	50.00	230	3.181	0.286
AFC-67-2-F1-Nov11	Default	1/26/2017	10:41 AM	357.39	7.148	3.264	2.19	1.95	50.00	230	3.657	0.604
AFC-67-3-F1-Nov11	Default	1/26/2017	10:46 AM	64.70	1.294	0.602	2.15	2.12	50.00	230	0.612	0.002
AFC-67-4-F1-Nov11	Default	1/26/2017	10:48 AM	31.70	0.634	0.316	2.01	2.32	50.00	230	0.273	-0.017
AFC-67-4-F1-Nov11	Default	1/26/2017	10:50 AM	54.31	1.086	0.558	1.95	2.29	50.00	230	0.474	-0.002
AFC-68-3-F1-Oct18	Default	1/26/2017	10:52 AM	348.57	6.971	3.285	2.12	1.93	50.00	230	3.604	0.326
AFC-68-4-F1-Nov11	Default	1/26/2017	10:54 AM	175.98	3.520	1.981	1.78	1.80	50.00	230	1.951	6.065
AFC-68-4-F1-Nov11	Default	1/26/2017	10:55 AM	167.52	3.350	1.747	1.92	1.76	50.00	230	1.904	2.363
AFC-70-3-F1-Nov11	Default	1/26/2017	10:57 AM	723.88	14.478	6.563	2.21	2.01	50.00	230	7.195	-3.512
AFC-70-4-F1-Nov11	Default	1/26/2017	10:59 AM	357.87	7.157	3.593	1.99	1.70	50.00	230	4.217	2.881
AFC-71-3-F1-Nov11	Default	1/26/2017	11:01 AM	550.46	11.009	5.427	2.03	2.12	50.00	230	5.188	1.380
AFC-71-4-F1-Nov11	Default	1/26/2017	11:03 AM	242.26	4.845	2.305	2.10	2.01	50.00	230	2.406	0.435
AFC-55-3-F1-Nov11	Default	1/26/2017	11:06 AM	335.48	6.710	3.112	2.16	2.39	50.00	230	2.809	0.056
AFC-66-2-F1-Nov11	Default	1/26/2017	11:09 AM	181.96	3.639	1.802	2.02	1.66	50.00	230	2.196	0.274
AFC-71-2-F1-Nov11	Default	1/26/2017	11:10 AM	532.01	10.640	5.014	2.12	2.15	50.00	230	4.959	0.318
AFC-70-2-F1-Nov11	Default	1/26/2017	11:12 AM	629.79	12.596	5.737	2.20	2.28	50.00	230	5.531	-3.690
MC-13-1-F1-Nov22	Default	1/26/2017	11:16 AM	293.66	5.873	2.803	2.10	1.49	50.00	230	3.930	0.551
MC-13-1-F1-Nov22	Default	1/26/2017	11:17 AM	275.01	5.500	2.653	2.07	1.47	50.00	230	3.745	0.522
MC-13-2-F1-Nov22	Default	1/26/2017	11:19 AM	292.57	5.851	2.775	2.11	1.51	50.00	230	3.872	0.490
MC-13-3-F1-Nov22	Default	1/26/2017	11:21 AM	252.18	5.044	2.431	2.07	1.49	50.00	230	3.389	0.684
MC-13-4-F1-Nov22	Default	1/26/2017	11:23 AM	405.15	8.103	3.698	2.19	2.15	50.00	230	3.774	0.619
MC-13-5-F1-Nov22	Default	1/26/2017	11:25 AM	237.71	4.754	2.359	2.02	0.61	50.00	230	7.825	1.405
MC-13-5-F1-Nov22	Default	1/26/2017	11:27 AM	292.57	5.851	2.798	2.09	1.60	50.00	230	3.652	0.793
MC-14-2-F1-Nov22	Default	1/26/2017	11:29 AM	71.94	1.439	0.760	1.89	1.65	50.00	230	0.871	0.074
MC-14-2-F1-Nov22	Default	1/26/2017	11:30 AM	72.15	1.443	0.784	1.84	1.56	50.00	230	0.924	0.037
MC-14-3-F1-Nov22	Default	1/26/2017	11:32 AM	15.70	0.314	0.184	1.71	1.57	50.00	230	0.200	0.152
MC-14-3-F1-Nov22	Default	1/26/2017	11:35 AM	16.71	0.334	0.185	1.80	1.48	50.00	230	0.225	-0.064
MC-14-4-F1-Nov22	Default	1/26/2017	11:37 AM	360.25	7.205	3.326	2.17	2.38	50.00	230	3.025	0.057
MC-09-3-F1-Nov22	Default	1/26/2017	11:39 AM	71.11	1.422	0.682	2.08	1.91	50.00	230	0.745	-0.024
MC-09-4-F1-Nov22	Default	1/26/2017	11:40 AM	16.98	0.340	0.195	1.74	1.32	50.00	230	0.256	-0.070
MC-09-4-F1-Nov22	Default	1/26/2017	11:42 AM	19.46	0.389	0.226	1.72	1.36	50.00	230	0.286	-0.079
MC-09-5-F1-Nov22	Default	1/26/2017	11:44 AM	55.04	1.101	0.519	2.12	1.70	50.00	230	0.646	0.260
MC-06-1-F1-Nov22	Default	1/26/2017	11:46 AM	46.29	0.926	0.450	2.06	1.11	50.00	230	0.835	-0.047
