Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
AFC-1-1-F1-sept28	Default	1/31/2017	10:10 AM	43.36	0.867	0.460	1.89	1.90	50.00	230	0.456	0.049
AFC-1-4-F1-dec06	Default	1/31/2017	10:11 AM	421.42	8.428	3.852	2.19	2.09	50.00	230	4.041	0.396
AFC-2-1-F1-jan31	Default	1/31/2017	10:13 AM	117.27	2.345	1.112	2.11	2.04	50.00	230	1.148	0.106
AFC-2-2-F1-jan31	Default	1/31/2017	10:15 AM	819.29	16.386	7.412	2.21	2.48	50.00	230	6.594	-5.466
AFC-2-3-F1-jan31	Default	1/31/2017	10:16 AM	88.42	1.768	0.927	1.91	1.81	50.00	230	0.977	1.520
AFC-2-4-F1-jan31	Default	1/31/2017	10:18 AM	323.93	6.479	2.956	2.19	2.38	50.00	230	2.722	0.096
AFC-3-1-F1-sept28	Default	1/31/2017	10:20 AM	228.83	4.577	2.178	2.10	1.83	50.00	230	2.506	0.316
AFC-3-4-F1-dec06	Default	1/31/2017	10:23 AM	193.87	3.877	1.801	2.15	2.21	50.00	230	1.756	0.139
AFC-5-1-F1-sept28	Default	1/31/2017	10:26 AM	13.80	0.276	0.160	1.73	1.14	50.00	230	0.242	0.026
AFC-5-1-F1-sept28	Default	1/31/2017	10:27 AM	12.81	0.256	0.150	1.70	1.65	50.00	230	0.156	0.039
AFC-5-5-F1-sept28	Default	1/31/2017	10:29 AM	451.22	9.024	4.206	2.15	2.19	50.00	230	4.128	0.457
AFC-5-4-F1-nov11	Default	1/31/2017	10:31 AM	401.69	8.034	3.810	2.11	1.86	50.00	230	4.322	0.509
AFC-6-1-F1-nov11	Default	1/31/2017	10:34 AM	109.26	2.185	1.016	2.15	2.13	50.00	230	1.024	0.048
AFC-6-2-F1-nov11	Default	1/31/2017	10:37 AM	287.26	5.745	2.622	2.19	2.33	50.00	230	2.464	0.127
AFC-6-3-F1-nov11	Default	1/31/2017	10:39 AM	142.38	2.848	1.336	2.13	1.92	50.00	230	1.483	0.139
AFC-7-2-F1-nov11	Default	1/31/2017	10:41 AM	362.70	7.254	3.417	2.12	1.86	50.00	230	3.910	0.486
AFC-7-3-F1-nov11	Default	1/31/2017	10:43 AM	310.58	6.212	2.993	2.08	1.89	50.00	230	3.288	0.681
AFC-7-4-F1-nov11	Default	1/31/2017	10:46 AM	561.51	11.230	5.404	2.08	2.04	50.00	230	5.506	0.781
AFC-8-1-F1-nov11	Default	1/31/2017	10:48 AM	107.42	2.148	1.167	1.84	1.79	50.00	230	1.198	2.362
AFC-8-1-F1-nov11	Default	1/31/2017	10:49 AM	69.03	1.381	0.658	2.10	2.08	50.00	230	0.662	0.023
AFC-8-2-F1-nov11	Default	1/31/2017	10:51 AM	354.06	7.081	3.433	2.06	1.69	50.00	230	4.200	1.282
AFC-8-3-F1-nov11	Default	1/31/2017	10:53 AM	385.91	7.718	3.648	2.12	1.83	50.00	230	4.229	0.537
AFC-8-4-F1-nov11	Default	1/31/2017	10:55 AM	314.41	6.288	3.101	2.03	1.94	50.00	230	3.234	1.684
AFC-F1-11-1-nov11	Default	1/31/2017	10:58 AM	615.42	12.308	5.623	2.19	2.10	50.00	230	5.858	-4.988
AFC-F1-11-2-nov11	Default	1/31/2017	10:59 AM	415.16	8.303	3.919	2.12	1.98	50.00	230	4.197	0.426
AFC-F1-11-3-nov11	Default	1/31/2017	11:02 AM	571.34	11.427	5.446	2.10	1.88	50.00	230	6.085	0.786
AFC-F1-11-4-nov11	Default	1/31/2017	11:03 AM	548.03	10.961	5.051	2.17	2.43	50.00	230	4.508	0.049
AFC-F1-12-1-nov11	Default	1/31/2017	11:06 AM	25.36	0.507	0.233	2.18	2.38	50.00	230	0.213	-0.011
AFC-F1-12-1-nov11	Default	1/31/2017	11:07 AM	26.55	0.531	0.273	1.94	2.22	50.00	230	0.239	-0.009
AFC-F1-12-2-nov11	Default	1/31/2017	11:09 AM	466.44	9.329	4.323	2.16	2.25	50.00	230	4.151	0.444
AFC-12-3-F1-nov11	Default	1/31/2017	11:11 AM	560.90	11.218	5.439	2.06	1.97	50.00	230	5.686	1.396
AFC-13-1-F1-sept28	Default	1/31/2017	11:14 AM	103.82	2.076	0.997	2.08	1.99	50.00	230	1.043	0.079
AFC-15-1-F1-sept28	Default	1/31/2017	11:16 AM	300.36	6.007	2.774	2.17	2.09	50.00	230	2.870	0.178
