Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
AFC-L57-1	Default	3/1/2017	9:43 AM	382.01	7.640	3.499	2.18	2.41	50.00	230	3.173	-0.077
AFC-L57-2	Default	3/1/2017	9:43 AM	381.73	7.635	3.500	2.18	2.18	50.00	230	3.499	0.336
AFC-L57-3	Default	3/1/2017	9:44 AM	307.91	6.158	2.716	2.27	2.39	50.00	230	2.581	0.119
AFC-L57-4	Default	3/1/2017	9:45 AM	341.77	6.835	3.138	2.18	2.23	50.00	230	3.066	-0.025
AFC-L60-1	Default	3/1/2017	9:46 AM	337.99	6.760	3.099	2.18	2.42	50.00	230	2.789	0.110
AFC-L60-2	Default	3/1/2017	9:47 AM	363.86	7.277	3.332	2.18	2.46	50.00	230	2.954	0.074
AFC-L60-3	Default	3/1/2017	9:47 AM	665.18	13.304	6.120	2.17	1.85	50.00	230	7.177	0.935
AFC-L60-4	Default	3/1/2017	9:48 AM	124.28	2.486	1.125	2.21	2.52	50.00	230	0.986	0.028
MC-L6-1	Default	3/1/2017	9:49 AM	327.78	6.556	3.066	2.14	1.92	50.00	230	3.418	0.348
MC-L6-2	Default	3/1/2017	9:50 AM	244.06	4.881	2.243	2.18	2.24	50.00	230	2.174	0.120
MC-L6-3	Default	3/1/2017	9:50 AM	185.45	3.709	1.719	2.16	2.41	50.00	230	1.538	0.358
MC-L6-4	Default	3/1/2017	9:51 AM	225.04	4.501	2.077	2.17	2.23	50.00	230	2.022	0.150
MC-L13-1	Default	3/1/2017	9:52 AM	262.19	5.244	2.640	1.99	1.53	50.00	230	3.431	0.497
MC-L13-2	Default	3/1/2017	9:52 AM	169.15	3.383	1.623	2.08	2.33	50.00	230	1.453	0.079
MC-L13-3	Default	3/1/2017	9:53 AM	244.90	4.898	2.284	2.14	2.46	50.00	230	1.989	0.049
MC-L13-4	Default	3/1/2017	9:54 AM	305.80	6.116	2.854	2.14	2.39	50.00	230	2.562	0.119
MC-L14-1	Default	3/1/2017	9:55 AM	393.02	7.860	3.587	2.19	2.36	50.00	230	3.335	0.131
MC-L14-2	Default	3/1/2017	9:55 AM	290.22	5.804	2.656	2.19	2.13	50.00	230	2.731	0.190
MC-L14-3	Default	3/1/2017	9:56 AM	434.06	8.681	4.024	2.16	2.36	50.00	230	3.680	0.175
MC-L14-4	Default	3/1/2017	9:57 AM	436.89	8.738	4.028	2.17	2.36	50.00	230	3.706	0.144
MC-L15-1	Default	3/1/2017	9:57 AM	280.61	5.612	2.648	2.12	2.00	50.00	230	2.799	0.546
MC-L15-2	Default	3/1/2017	9:58 AM	103.83	2.077	0.922	2.25	2.28	50.00	230	0.911	0.065
MC-L15-3	Default	3/1/2017	9:59 AM	376.11	7.522	3.484	2.16	2.15	50.00	230	3.506	0.284
MC-L15-4	Default	3/1/2017	10:01 AM	14.43	0.289	0.155	1.86	1.64	50.00	230	0.176	0.010
