Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
AFC-L30-1	Default	3/1/2017	10:08 AM	332.11	6.642	3.131	2.12	1.93	50.00	230	3.449	0.580
AFC-L30-2	Default	3/1/2017	10:09 AM	325.28	6.506	2.993	2.17	2.23	50.00	230	2.914	0.200
AFC-L30-3	Default	3/1/2017	10:10 AM	144.64	2.893	1.405	2.06	2.45	50.00	230	1.182	0.137
AFC-L30-4	Default	3/1/2017	10:10 AM	201.36	4.027	1.904	2.11	2.52	50.00	230	1.595	0.140
AFC-L49-1	Default	3/1/2017	10:11 AM	24.75	0.495	0.268	1.85	2.74	50.00	230	0.180	0.044
AFC-L49-2	Default	3/1/2017	10:11 AM	124.34	2.487	1.215	2.05	2.15	50.00	230	1.158	0.174
AFC-L49-3	Default	3/1/2017	10:12 AM	199.90	3.998	1.914	2.09	2.89	50.00	230	1.383	-0.011
AFC-L49-4	Default	3/1/2017	10:13 AM	59.93	1.199	0.604	1.98	2.58	50.00	230	0.465	0.046
MC-L27-1	Default	3/1/2017	10:14 AM	25.98	0.520	0.235	2.21	42.08	50.00	230	0.012	-0.016
MC-L27-2	Default	3/1/2017	10:15 AM	8.66	0.173	0.077	2.24	-1.48	50.00	230	-0.117	-0.029
MC-L27-3	Default	3/1/2017	10:15 AM	209.04	4.181	1.974	2.12	2.18	50.00	230	1.922	0.257
MC-L27-4	Default	3/1/2017	10:16 AM	256.68	5.134	2.358	2.18	2.62	50.00	230	1.962	0.128
AFC-L14-1	Default	3/1/2017	10:17 AM	20.09	0.402	0.177	2.27	-13.38	50.00	230	-0.030	-0.020
AFC-L14-2	Default	3/1/2017	10:17 AM	21.04	0.421	0.195	2.16	-22.35	50.00	230	-0.019	-0.027
AFC-L14-3	Default	3/1/2017	10:18 AM	89.42	1.788	0.847	2.11	3.57	50.00	230	0.501	-0.014
AFC-L14-4	Default	3/1/2017	10:19 AM	15.65	0.313	0.135	2.32	-5.43	50.00	230	-0.058	0.004
AFC-L14-1	Default	3/1/2017	10:20 AM	20.33	0.407	0.188	2.16	-18.20	50.00	230	-0.022	-0.030
AFC-L14-2	Default	3/1/2017	10:21 AM	20.84	0.417	0.208	2.00	-46.43	50.00	230	-0.009	-0.028
MC-L20-1	Default	3/1/2017	10:21 AM	15.09	0.302	0.137	2.21	-4.51	50.00	230	-0.067	-0.024
MC-L20-2	Default	3/1/2017	10:22 AM	288.91	5.778	2.698	2.14	2.65	50.00	230	2.183	0.004
MC-L20-3	Default	3/1/2017	10:23 AM	200.21	4.004	1.891	2.12	2.90	50.00	230	1.380	-0.032
MC-L20-4	Default	3/1/2017	10:24 AM	17.26	0.345	0.162	2.13	-5.61	50.00	230	-0.061	0.271
MC-L6-1	Default	3/1/2017	10:24 AM	19.03	0.381	0.201	1.89	-39.76	50.00	230	-0.010	-0.086
MC-L6-2	Default	3/1/2017	10:25 AM	8.62	0.172	0.079	2.19	-1.43	50.00	230	-0.120	-0.033
MC-L6-3	Default	3/1/2017	10:26 AM	306.28	6.126	2.790	2.20	2.36	50.00	230	2.596	0.213
MC-L6-4	Default	3/1/2017	10:26 AM	37.74	0.755	0.368	2.05	3.24	50.00	230	0.233	0.002
MC-L6-1	Default	3/1/2017	10:27 AM	18.64	0.373	0.155	2.41	-15.61	50.00	230	-0.024	0.005
MC-L6-2	Default	3/1/2017	10:28 AM	9.79	0.196	0.110	1.78	-1.91	50.00	230	-0.103	-0.023
