Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
MV-L3	Default	3/1/2017	10:31 AM	239.47	4.789	2.253	2.13	2.07	50.00	230	2.313	0.284
MV-L4	Default	3/1/2017	10:32 AM	263.75	5.275	2.456	2.15	2.13	50.00	230	2.482	0.245
MV-L5	Default	3/1/2017	10:32 AM	279.74	5.595	2.596	2.16	2.20	50.00	230	2.549	0.257
MV-L6	Default	3/1/2017	10:33 AM	171.83	3.437	1.652	2.08	2.35	50.00	230	1.460	0.075
MV-L7	Default	3/1/2017	10:34 AM	365.22	7.304	3.407	2.14	2.44	50.00	230	2.988	0.175
MV-L8	Default	3/1/2017	10:34 AM	364.45	7.289	3.358	2.17	2.42	50.00	230	3.012	0.062
MV-L9	Default	3/1/2017	10:35 AM	234.61	4.692	2.240	2.09	2.11	50.00	230	2.225	0.208
MV-L10	Default	3/1/2017	10:36 AM	261.71	5.234	2.406	2.18	2.25	50.00	230	2.323	0.218
AFC-L56-1	Default	3/1/2017	10:36 AM	258.49	5.170	2.363	2.19	2.03	50.00	230	2.546	0.274
AFC-L56-2	Default	3/1/2017	10:40 AM	320.93	6.419	3.270	1.96	1.35	50.00	230	4.764	0.902
AFC-L56-3	Default	3/1/2017	10:41 AM	270.64	5.413	2.556	2.12	2.16	50.00	230	2.501	0.225
AFC-L56-4	Default	3/1/2017	10:42 AM	209.47	4.189	2.021	2.07	2.16	50.00	230	1.941	0.175
AFC-L12-1	Default	3/1/2017	10:42 AM	214.41	4.288	1.996	2.15	2.07	50.00	230	2.069	0.205
AFC-L12-2	Default	3/1/2017	10:43 AM	186.70	3.734	1.732	2.16	1.88	50.00	230	1.988	0.176
AFC-L12-3	Default	3/1/2017	10:43 AM	147.79	2.956	1.430	2.07	2.30	50.00	230	1.283	0.109
AFC-L12-4	Default	3/1/2017	10:44 AM	184.02	3.680	1.730	2.13	2.42	50.00	230	1.522	0.039
AFC-L17-1	Default	3/1/2017	10:45 AM	138.76	2.775	1.317	2.11	1.93	50.00	230	1.434	0.189
AFC-L17-2	Default	3/1/2017	10:45 AM	235.53	4.711	2.255	2.09	1.73	50.00	230	2.730	0.352
AFC-L17-3	Default	3/1/2017	10:46 AM	180.03	3.601	1.708	2.11	2.01	50.00	230	1.789	0.174
AFC-L17-4	Default	3/1/2017	10:46 AM	217.28	4.346	2.021	2.15	1.87	50.00	230	2.323	0.374
AFC-L47-1	Default	3/1/2017	10:47 AM	77.30	1.546	0.686	2.25	2.60	50.00	230	0.595	0.010
AFC-L47-2	Default	3/1/2017	10:48 AM	166.22	3.324	1.557	2.13	2.17	50.00	230	1.533	0.126
AFC-L47-3	Default	3/1/2017	10:48 AM	18.13	0.363	0.174	2.08	2.70	50.00	230	0.134	-0.010
AFC-L47-4	Default	3/1/2017	10:49 AM	270.66	5.413	2.472	2.19	2.22	50.00	230	2.437	0.197
