Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
MC-M14-F1-feb16	Default	2/16/2017	11:14 AM	22.71	0.454	0.244	1.86	1.77	50.00	230	0.257	-0.001
MC-M14-F1-feb16	Default	2/16/2017	11:15 AM	23.91	0.478	0.245	1.95	1.84	50.00	230	0.260	-0.009
MC-M13-F1-feb16	Default	2/16/2017	11:16 AM	12.09	0.242	0.118	2.05	1.90	50.00	230	0.128	-0.008
MC-M13-F1-feb16	Default	2/16/2017	11:17 AM	11.91	0.238	0.115	2.06	1.94	50.00	230	0.122	-0.016
MC-M12-F1-feb16	Default	2/16/2017	11:19 AM	13.19	0.264	0.131	2.02	1.21	50.00	230	0.218	0.019
MC-M11-F1-feb16	Default	2/16/2017	11:20 AM	25.90	0.518	0.280	1.85	2.08	50.00	230	0.249	0.111
MC-M11-F1-feb16	Default	2/16/2017	11:21 AM	26.53	0.531	0.305	1.74	2.09	50.00	230	0.254	0.081
MC-M10-F1-feb16	Default	2/16/2017	11:23 AM	24.19	0.484	0.243	1.99	2.63	50.00	230	0.184	-0.018
MC-M09-F1-feb16	Default	2/16/2017	11:24 AM	10.84	0.217	0.113	1.92	1.56	50.00	230	0.139	-0.011
MC-M09-F1-feb16	Default	2/16/2017	11:26 AM	78.97	1.579	0.406	3.89	1.53	50.00	230	1.031	0.677
MC-M09-F1-feb16	Default	2/16/2017	11:27 AM	7.70	0.154	0.081	1.89	1.09	50.00	230	0.142	-0.010
MC-M08-F1-feb16	Default	2/16/2017	11:29 AM	15.17	0.303	0.190	1.59	1.60	50.00	230	0.190	-0.015
MC-M07-F1-feb16	Default	2/16/2017	11:30 AM	174.99	3.500	1.643	2.13	2.02	50.00	230	1.735	0.189
MC-M06-F1-feb16	Default	2/16/2017	11:32 AM	54.24	1.085	0.547	1.98	1.77	50.00	230	0.613	0.130
MC-M05-F1-feb16	Default	2/16/2017	11:33 AM	105.81	2.116	1.017	2.08	2.01	50.00	230	1.055	0.085
MC-M04-F1-feb16	Default	2/16/2017	11:35 AM	37.15	0.743	0.371	2.00	2.35	50.00	230	0.316	-0.013
MC-M04-F1-feb16	Default	2/16/2017	11:36 AM	39.37	0.787	0.405	1.94	2.13	50.00	230	0.369	-0.016
MC-M03-F1-feb16	Default	2/16/2017	11:38 AM	21.33	0.427	0.242	1.77	1.33	50.00	230	0.320	0.001
MC-M03-F1-feb16	Default	2/16/2017	11:39 AM	29.95	0.599	0.329	1.82	1.54	50.00	230	0.389	-0.010
MC-M03-F1-feb16	Default	2/16/2017	11:40 AM	30.34	0.607	0.338	1.79	1.57	50.00	230	0.387	-0.007
MC-M02-F1-feb16	Default	2/16/2017	11:41 AM	17.43	0.349	0.186	1.87	2.27	50.00	230	0.154	0.287
MC-M02-F1-feb16	Default	2/16/2017	11:42 AM	10.85	0.217	0.128	1.70	2.71	50.00	230	0.080	-0.011
MC-M01-F1-feb16	Default	2/16/2017	11:44 AM	101.90	2.038	0.979	2.08	1.76	50.00	230	1.159	0.164
