Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
MC-6-1-F1-Nov22	Default	11/29/2016	3:23 PM	63.34	1.267	0.840	1.51	0.93	50.00	230	1.364	5.848
MC-6-2-F1-Nov22	Default	11/29/2016	3:26 PM	386.41	7.728	4.058	1.90	0.98	50.00	230	7.922	1.963
MC-9-1-F1-Nov22	Default	11/29/2016	3:28 PM	20.40	0.408	0.215	1.90	2.11	50.00	230	0.194	0.112
MC-9-2-F1-Nov22	Default	11/29/2016	3:30 PM	531.48	10.630	5.210	2.04	1.38	50.00	230	7.697	1.186
MC-13-1-F1-Nov22	Default	11/29/2016	3:35 PM	204.44	4.089	1.861	2.20	1.79	50.00	230	2.290	0.271
MC-13-2-F1-Nov22	Default	11/29/2016	3:37 PM	176.03	3.521	1.564	2.25	1.98	50.00	230	1.774	0.088
MC-14-1-F1-Nov22	Default	11/29/2016	3:39 PM	449.74	8.995	3.927	2.29	2.45	50.00	230	3.664	0.087
MC-14-2-F1-Nov22	Default	11/29/2016	3:42 PM	31.91	0.638	0.303	2.11	0.94	50.00	230	0.681	0.063
MC-15-1-F1-Nov22	Default	11/29/2016	3:44 PM	170.95	3.419	1.565	2.19	1.98	50.00	230	1.730	0.174
MC-15-2-F1-Nov22	Default	11/29/2016	3:45 PM	203.21	4.064	1.841	2.21	1.73	50.00	230	2.350	0.128
MC-17-1-F1-Nov22	Default	11/29/2016	3:47 PM	26.57	0.531	0.257	2.07	1.43	50.00	230	0.371	0.049
MC-17-2-F1-Nov22	Default	11/29/2016	3:49 PM	209.36	4.187	1.939	2.16	1.94	50.00	230	2.155	0.161
MC-20-1-F1-Nov22	Default	11/29/2016	3:50 PM	31.01	0.620	0.456	1.36	1.22	50.00	230	0.508	2.344
MC-20-1-F1-Nov22	Default	11/29/2016	3:51 PM	22.93	0.459	0.206	2.22	0.71	50.00	230	0.644	0.001
MC-20-2-F1-Nov22	Default	11/29/2016	3:53 PM	72.68	1.454	0.645	2.25	2.17	50.00	230	0.670	0.044
MC-27-1-F1-Nov22	Default	11/29/2016	3:55 PM	16.42	0.328	0.149	2.21	0.96	50.00	230	0.342	0.027
MC-20-1-F1-Nov22	Default	11/29/2016	3:59 PM	25.88	0.518	0.220	2.35	0.46	50.00	230	1.130	0.024
MC-27-2-F1-Nov22	Default	11/29/2016	4:01 PM	17.74	0.355	0.178	1.99	0.76	50.00	230	0.465	0.036
