Sample ID	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
MV_F1_L-1_feb28	Default	2/28/2017	10:17 AM	295.72	5.914	2.681	2.21	2.19	50.00	230	2.701	0.173
MV_F1_L-2_feb28	Default	2/28/2017	10:19 AM	534.52	10.690	5.145	2.08	1.78	50.00	230	6.006	0.857
MV_F1_L-11_feb28	Default	2/28/2017	10:20 AM	327.28	6.546	2.931	2.23	2.18	50.00	230	3.004	0.184
MV_F1_L-12_feb28	Default	2/28/2017	10:22 AM	314.94	6.299	2.857	2.20	2.32	50.00	230	2.713	0.108
MC_F1_L9-1_feb28	Default	2/28/2017	10:25 AM	241.05	4.821	2.237	2.16	1.76	50.00	230	2.736	0.374
MC_F1_L9-2_feb28	Default	2/28/2017	10:27 AM	163.69	3.274	1.562	2.10	2.02	50.00	230	1.619	0.197
MC_F1_L9-3_feb28	Default	2/28/2017	10:28 AM	276.90	5.538	2.649	2.09	1.65	50.00	230	3.348	1.214
MC_F1_L9-4_feb28	Default	2/28/2017	10:30 AM	117.29	2.346	1.101	2.13	2.33	50.00	230	1.009	0.021
AFC_F1_L48-1_feb28	Default	2/28/2017	10:32 AM	244.06	4.881	2.264	2.16	1.99	50.00	230	2.453	0.279
AFC_F1_L48-2_feb28	Default	2/28/2017	10:34 AM	2.92	0.058	0.042	1.40	1.29	50.00	230	0.045	-0.038
AFC_F1_L48-2_feb28	Default	2/28/2017	10:35 AM	2.82	0.056	0.044	1.28	1.25	50.00	230	0.045	-0.058
AFC_F1_L48-3_feb28	Default	2/28/2017	10:37 AM	286.59	5.732	2.701	2.12	2.16	50.00	230	2.654	0.154
AFC_F1_L48-4_feb28	Default	2/28/2017	10:39 AM	269.72	5.394	2.391	2.26	2.17	50.00	230	2.488	0.166
AFC_F1_L12-1_feb28	Default	2/28/2017	10:41 AM	25.95	0.519	0.268	1.94	2.50	50.00	230	0.208	0.004
AFC_F1_L12-1_feb28	Default	2/28/2017	10:42 AM	27.03	0.541	0.273	1.98	2.67	50.00	230	0.202	-0.011
AFC_F1_L12-2_feb28	Default	2/28/2017	10:43 AM	130.25	2.605	1.258	2.07	2.14	50.00	230	1.220	0.105
AFC_F1_L12-3_feb28	Default	2/28/2017	10:45 AM	72.18	1.444	0.675	2.14	2.24	50.00	230	0.646	-0.004
AFC_F1_L19-1_feb28	Default	2/28/2017	10:47 AM	161.77	3.235	1.432	2.26	2.21	50.00	230	1.465	0.040
AFC_F1_L19-3_feb28	Default	2/28/2017	10:49 AM	243.42	4.868	2.202	2.21	2.36	50.00	230	2.059	0.070
AFC_F1_L19-4_feb28	Default	2/28/2017	10:51 AM	295.00	5.900	2.645	2.23	2.38	50.00	230	2.475	0.033
AFC_F1_L19-2_feb28	Default	2/28/2017	10:53 AM	355.62	7.112	3.257	2.18	2.02	50.00	230	3.517	0.351
AFC_F1_L24-1_feb28	Default	2/28/2017	10:55 AM	185.42	3.708	1.672	2.22	2.30	50.00	230	1.613	0.045
AFC_F1_L24-2_feb28	Default	2/28/2017	10:57 AM	171.13	3.423	1.568	2.18	2.04	50.00	230	1.679	0.109
AFC_F1_L24-3_feb28	Default	2/28/2017	10:58 AM	172.61	3.452	1.614	2.14	2.49	50.00	230	1.388	-0.000
AFC_F1_L12-4_feb28	Default	2/28/2017	11:01 AM	171.85	3.437	1.633	2.10	2.09	50.00	230	1.643	0.094
AFC_F1_L24-4_feb28	Default	2/28/2017	11:02 AM	171.80	3.436	1.641	2.09	2.04	50.00	230	1.683	0.129
