population,line_id,type,unique_id,nano,qubit_measured,qubit_vol,qubit_actual
AFC,1,F1,AFC-1-4-F1,421.42,307,,
AFC,1,F1,AFC-1-3-F1,100.8,136,,
AFC,2,F1,AFC-2-2-F1,819.29,408,,
AFC,2,F1,AFC-2-4-F1,323.93,348,,
AFC,3,F1,AFC-3-3-F1,383.35,236,,
AFC,3,F1,AFC-3-1-F1,228.83,246,,
AFC,5,F1,AFC-5-4-F1,401.69,311,,
AFC,5,F1,AFC-5-2-F1,192.67,234,,
AFC,6,F1,AFC-6-2-F1,287.26,261,,
AFC,6,F1,AFC-6-3-F1,142.38,174,,
AFC,7,F1,AFC-7-4-F1,561.51,386,,
AFC,7,F1,AFC-7-1-F1,380.43,314,,
AFC,8,F1,AFC-8-3-F1,385.91,320,,
AFC,8,F1,AFC-8-2-F1,354.06,304,,
AFC,12,F1,AFC-12-3-F1,560.9,286,,
AFC,13,F1,AFC-13-4-F1,383.63,353,,
AFC,13,F1,AFC-13-2-F1,137.5,131,,
AFC,14,F1,AFC-14-1-F1,626.38,550,,
AFC,14,F1,AFC-14-2-F1,461.17,455,,
AFC,15,F1,AFC-15-4-F1,466.72,,,
AFC,15,F1,AFC-15-1-F1,300.36,324,,
AFC,18,F1,AFC-18-3-F1,411.99,370,,
AFC,18,F1,AFC-18-4-F1,67.095,10.7,,
AFC,19,F1,AFC-19-3-F1,487.72,293,,
AFC,19,F1,AFC-19-4-F1,344.15,343,,
AFC,24,F1,AFC-24-4-F1,506.73,237,,
AFC,24,F1,AFC-24-3-F1,277.93,360,,
AFC,25,F1,AFC-25-4-F1,123.6,149,,
AFC,25,F1,AFC-25-3-F1,91.39,99.5,,
AFC,27,F1,AFC-27-3-F1,284.54,306,,
AFC,27,F1,AFC-27-4-F1,243.02,263,,
AFC,28,F1,AFC-28-3-F1,388.14,428,,
AFC,28,F1,AFC-28-2-F1,253.92,373,,
AFC,29,F1,AFC-29-3-F1,180.815,252,,
AFC,29,F1,AFC-29-2-F1,128.71,,,
AFC,30,F1,AFC-30-4-F1,400.33,416,,
AFC,30,F1,AFC-30-1-F1,379.47,297,,
AFC,42,F1,AFC-42-4-F1,474.43,490,,
AFC,42,F1,AFC-42-3-F1,418.49,500,,
AFC,43,F1,AFC-43-1-F1,144.63,266,,
AFC,43,F1,AFC-43-3-F1,51.875,72.7,,
AFC,46,F1,AFC-46-3-F1,487.59,,,
AFC,46,F1,AFC-46-1-F1,396.48,483,,
AFC,47,F1,AFC-47-3-F1,485.73,424,,
AFC,47,F1,AFC-47-2-F1,392.24,397,,
AFC,48,F1,AFC-48-4-F1,556.78,580,,
AFC,48,F1,AFC-48-2-F1,255.39,348,,
AFC,49,F1,AFC-49-1-F1,243.065,357,,
AFC,49,F1,AFC-49-4-F1,199.565,353,,
AFC,50,F1,AFC-50-4-F1,503.08,590,,
AFC,50,F1,AFC-50-3-F1,325.39,491,,
AFC,51,F1,AFC-51-3-F1,333.82,433,,
AFC,51,F1,AFC-51-1-F1,146.74,24.1,,
AFC,54,F1,AFC-54-3-F1,482.55,497,,
AFC,54,F1,AFC-54-2-F1,461.4,475,,
AFC,55,F1,AFC-55-3-F1,356.865,237,1,
AFC,55,F1,AFC-55-4-F1,312.26,431,,
AFC,56,F1,AFC-56-4-F1,394.55,493,,
AFC,56,F1,AFC-56-1-F1,298.22,349,,
AFC,57,F1,AFC-57-1-F1,570.06,472,,
AFC,57,F1,AFC-57-3-F1,550.15,520,,
AFC,59,F1,AFC-59-1-F1,332.49,425,,
AFC,59,F1,AFC-59-2-F1,154.87,199,,
AFC,60,F1,AFC-60-4-F1,403.75,461,,
AFC,60,F1,AFC-60-3-F1,209.32,248,,
AFC,63,F1,AFC-63-4-F1,437.67,439,,
AFC,63,F1,AFC-63-1-F1,164.83,279,,
AFC,64,F1,AFC-64-3-F1,528.07,409,,
AFC,64,F1,AFC-64-4-F1,418.13,435,,
AFC,66,F1,AFC-66-3-F1,355.52,411,,
AFC,66,F1,AFC-66-2-F1,181.96,95.4,,
AFC,67,F1,AFC-67-2-F1,357.39,173,,
AFC,67,F1,AFC-67-3-F1,64.7,32.5,,
AFC,68,F1,AFC-68-3-F1,348.57,214,,
AFC,68,F1,AFC-68-4-F1,171.75,109,,
AFC,70,F1,AFC-70-3-F1,723.88,,1,79.3
AFC,70,F1,AFC-70-2-F1,629.79,,1,59.7
AFC,71,F1,AFC-71-3-F1,550.46,,1,67.1
AFC,71,F1,AFC-71-2-F1,532.01,270,1,
MC,6,F1,MC-6-2-F1,386.41,46.3,1,
MC,9,F1,MC-9-2-F1,531.48,,,
MC,13,F1,MC-13-4-F1,405.15,181,1,
MC,13,F1,MC-13-1-F1,257.7033333,140,1,
MC,14,F1,MC-14-1-F1,449.74,389,2,
MC,14,F1,MC-14-4-F1,360.25,257,1,
MC,15,F1,MC-15-2-F1,203.21,240,2,
MC,15,F1,MC-15-4-F1,190.2,134,1,
MC,17,F1,MC-17-2-F1,209.36,353,2,
MC,20,F1,MC-20-3-F1,274.82,111,2,
MC,20,F1,MC-20-2-F1,133.935,108,2,
AFC,57,L,AFC-L57-1,382.01,,,
AFC,57,L,AFC-L57-4,341.77,,,
AFC,60,L,AFC-L60-2,363.86,,,
AFC,60,L,AFC-L60-3,665.18,,,
MC,6,L,MC-L6-1,327.78,434,,
MC,6,L,MC-L6-4,225.04,,,
MC,13,L,MC-L13-1,262.19,427,,
