population,line_id,type,unique_id,nano,qubit_measured,qubit_vol,qubit_actual,approx_ng,ul for 500 ng,max?,ul water for 50 ul,approx_final_conc,approx_vol_100
MC,17,F,MC_F17_F1_feb21,8.5,7.28,2,0.728,14.56,686.8131868,yes,determine,0.2912,343.4065934
MC,9,M,MC-M09-F1-feb16,10.84,9.18,2,0.918,18.36,544.6623094,yes,determine,0.3672,272.3311547
MC,2,M,MC-M02-F1-feb16,17.43,11.8,2,1.18,23.6,423.7288136,yes,determine,0.472,211.8644068
MC,25,M,MC_M25_F1_feb21,15.25,13.2,2,1.32,26.4,378.7878788,yes,determine,0.528,189.3939394
MC,10,M,MC-M10-F1-feb16,24.19,15,2,1.5,30,333.3333333,yes,determine,0.6,166.6666667
MC,17,M,MC_M17_F1_feb21,14.83,15,2,1.5,30,333.3333333,yes,determine,0.6,166.6666667
MC,8,M,MC-M08-F1-feb16,15.17,16.6,2,1.66,33.2,301.2048193,yes,determine,0.664,150.6024096
MC,22,M,MC_M22_F1_feb21,9.73,17.9,2,1.79,35.8,279.3296089,yes,determine,0.716,139.6648045
MC,20,M,MC_M20_F1_feb21,20.54,19.3,2,1.93,38.6,259.0673575,yes,determine,0.772,129.5336788
MC,13,M,MC-M13-F1-feb16,12.09,19.6,2,1.96,39.2,255.1020408,yes,determine,0.784,127.5510204
AFC,14,L,AFC-L14-2,21.04,20.2,2,2.02,40.4,247.5247525,yes,determine,0.808,123.7623762
MC,11,M,MC-M11-F1-feb16,25.9,24,2,2.4,48,208.3333333,yes,determine,0.96,104.1666667
MC,23,M,MC_M23_F1_feb21,29.13,25.5,2,2.55,51,196.0784314,yes,determine,1.02,98.03921569
MC,18,M,MC_M18_F1_feb21,27.43,26.1,2,2.61,52.2,191.5708812,yes,determine,1.044,95.78544061
MC,12,M,MC-M12-F1-feb16,13.19,26.8,2,2.68,53.6,186.5671642,yes,determine,1.072,93.28358209
MC,3,M,MC-M03-F1-feb16,21.33,27.1,2,2.71,54.2,184.501845,yes,determine,1.084,92.25092251
MC,24,M,MC_M24_F1_feb21,22.82,27.2,2,2.72,54.4,183.8235294,yes,determine,1.088,91.91176471
MC,27,L,MC-L27-1,25.98,31.2,2,3.12,62.4,160.2564103,yes,determine,1.248,80.12820513
MC,14,M,MC-M14-F1-feb16,22.71,31.6,2,3.16,63.2,158.2278481,yes,determine,1.264,79.11392405
MC,15,M,MC_M15_F1_feb21,32.88,31.6,2,3.16,63.2,158.2278481,yes,determine,1.264,79.11392405
MC,26,M,MC_M26_F1_feb21,25.35,32.7,2,3.27,65.4,152.9051988,yes,determine,1.308,76.45259939
MC,16,M,MC_M16_F1_feb21,20.55,33.2,2,3.32,66.4,150.6024096,yes,determine,1.328,75.30120482
MC,17,F1,MC-17-3-F1,NA,36.6,2,3.66,73.2,136.6120219,yes,determine,1.464,68.30601093
MC,4,M,MC-M04-F1-feb16,39.37,41.9,2,4.19,83.8,119.3317422,yes,determine,1.676,59.66587112
MC,17,F1,MC-17-5-F1,NA,50.2,2,5.02,100.4,99.60159363,yes,determine,2.008,49.80079681
MC,27,F1,MC-27-2-F1,17.74,25.3,1,5.06,101.2,98.81422925,yes,determine,2.024,49.40711462
MC,19,M,MC_M19_F1_feb21,41.06,50.9,2,5.09,101.8,98.23182711,yes,determine,2.036,49.11591356
MC,27,F1,MC-27-1-F1,16.42,26.6,1,5.32,106.4,93.98496241,yes,determine,2.128,46.9924812
MC,28,M,MC_M28_F1_feb21,38.33,63.1,2,6.31,126.2,79.23930269,yes,determine,2.524,39.61965135
MC,27,M,MC_M27_F1_feb21,57.64,68.8,2,6.88,137.6,72.6744186,yes,determine,2.752,36.3372093
AFC,43,F1,AFC-43-3-F1,51.875,72.7,2,7.27,145.4,68.77579092,yes,determine,2.908,34.38789546
MC,6,M,MC-M06-F1-feb16,54.24,75.8,2,7.58,151.6,65.96306069,yes,determine,3.032,32.98153034
